20 flow networks in flowNetworks1.txt.

** G1: |V|=6, V={0..5}
(u, v, weight) E = { 
      ( 2,  7,  47)
      ( 2,  8,   5)
      ( 2,  9,  60)
      ( 3,  1,  48)
      ( 3,  4,  79)
      ( 4,  2,   2)
      ( 4,  3,  28)
      ( 4,  5,  25)
      ( 4,  7,  24)
      ( 5,  1,  36)
      ( 5,  7,  67)
      ( 6,  1,  72)
      ( 6,  3,  58)
      ( 6,  7,  60)
      ( 6,  9,  22)
      ( 7,  1,  78)
      ( 7,  3,  88)
      ( 7,  6,  23)
      ( 7,  8,  77)
      ( 8,  1,  98)
      ( 8,  3,  51)
      ( 8,  4,  32)
      ( 8,  5,  98)
      ( 8,  9,  88) }
------------------------- 

** G10: |V|=10, V={0..9}
(u, v, weight) E = { 
      ( 0,  1,  51)
      ( 0,  5,  97)
      ( 0,  6,  52)
      ( 1,  3,  62)
      ( 1,  5,  79)
      ( 1,  9,  16)
      ( 2,  4,  84)
      ( 2,  5,  26)
      ( 2,  6,  32)
      ( 2,  8,  26)
      ( 2,  9,  21)
      ( 3,  5,  56)
      ( 3,  8,  52)
      ( 3,  9,  71)
      ( 4,  2,  36)
      ( 4,  3,  69)
      ( 4,  5,  30)
      ( 4,  8,  89)
      ( 5,  4,  98)
      ( 5,  6,  71)
      ( 5,  7,  43)
      ( 5,  8,  39)
      ( 6,  3,  14)
      ( 6,  5,  68)
      ( 6,  7,  29)
      ( 6,  8,  56)
      ( 7,  3,  67)
      ( 7,  8,  75)
      ( 8,  3,  70) }
------------------------- 

** G11: |V|=14, V={0..13}
(u, v, weight) E = { 
      ( 0,  6,  85)
      ( 0,  9,  39)
      ( 0, 13,  20)
      ( 1,  4,  48)
      ( 1,  5,  43)
      ( 1,  9,  40)
      ( 1, 13,  86)
      ( 2,  3,  27)
      ( 2,  7,  40)
      ( 2,  8,  95)
      ( 2, 12,  60)
      ( 3,  4,  46)
      ( 3, 11,  91)
      ( 3, 12,  75)
      ( 3, 13,  32)
      ( 4,  1,  44)
      ( 4,  5,  20)
      ( 4,  6,  89)
      ( 5,  1,  18)
      ( 5,  2,  32)
      ( 5,  7,  81)
      ( 5,  9,  68)
      ( 5, 13,  18)
      ( 6,  1,  86)
      ( 6,  5,   1)
      ( 7,  2,  71)
      ( 7,  9,   1)
      ( 8,  6,  34)
      ( 8,  7,  60)
      ( 8, 10,  20)
      ( 8, 11,  52)
      ( 8, 12,  23)
      ( 9,  2,  56)
      ( 9,  5,  30)
      ( 9,  6,  91)
      ( 9,  7,  48)
      ( 9,  8,  74)
      ( 9, 13,  59)
      (10, 13,  21)
      (11,  2,  52)
      (11,  6,   7)
      (11,  8,  69)
      (12,  9,  39)
      (12, 11,  80) }
------------------------- 

** G12: |V|=14, V={0..13}
(u, v, weight) E = { 
      ( 0,  1,  43)
      ( 0,  3,  64)
      ( 0,  4,  77)
      ( 0,  7,  81)
      ( 0,  9,  69)
      ( 0, 11,  88)
      ( 0, 13,   7)
      ( 1,  2,  73)
      ( 1, 12,  88)
      ( 2,  3,  96)
      ( 2,  4,  50)
      ( 2, 10,  38)
      ( 3,  4,  14)
      ( 3,  9,  51)
      ( 4,  2,  72)
      ( 4,  3,  52)
      ( 4,  5,  30)
      ( 4, 10,  64)
      ( 4, 13,   5)
      ( 5,  1,  53)
      ( 5,  4,  92)
      ( 5,  8,  98)
      ( 5, 10,  54)
      ( 5, 11,   9)
      ( 5, 13,  47)
      ( 6,  1,  65)
      ( 6,  4,  71)
      ( 6,  5,  17)
      ( 6,  7,  54)
      ( 6,  8,  84)
      ( 6, 13,  37)
      ( 7,  3,  40)
      ( 7,  5,  54)
      ( 7,  9,  90)
      ( 8,  1,  34)
      ( 8,  7,  44)
      ( 8,  9,  36)
      ( 8, 13,  52)
      ( 9,  2,  38)
      ( 9,  8,  38)
      ( 9, 10,  98)
      (10, 12,  47)
      (10, 13,  45)
      (11,  6,  58)
      (12,  1,  26)
      (12,  6,  88)
      (12,  9,  99) }
------------------------- 

** G13: |V|=14, V={0..13}
(u, v, weight) E = { 
      ( 0,  1,  49)
      ( 0,  4,  82)
      ( 0,  8,  39)
      ( 1,  3,  94)
      ( 1,  7,  77)
      ( 2,  4,  59)
      ( 2,  5,  34)
      ( 2,  7,  32)
      ( 2,  8,  11)
      ( 2,  9,  37)
      ( 2, 10,  79)
      ( 2, 11,  79)
      ( 3,  2,  58)
      ( 3,  6,  51)
      ( 3, 10,   8)
      ( 3, 13,  73)
      ( 4, 10,  75)
      ( 5,  2,  32)
      ( 5, 12,  37)
      ( 5, 13,  47)
      ( 6,  1,  67)
      ( 6,  3,  40)
      ( 6,  8,  29)
      ( 6, 10,  20)
      ( 7,  2,  51)
      ( 7,  8,  77)
      ( 7, 10,  93)
      ( 7, 13,  50)
      ( 8,  5,  19)
      ( 8,  6,  85)
      ( 8,  7,  94)
      ( 8, 11,  35)
      ( 9,  2,  54)
      ( 9,  3,  15)
      ( 9,  4,  67)
      ( 9,  5,  18)
      ( 9,  7,  31)
      ( 9, 13,  66)
      (10,  1,  67)
      (10,  2,  19)
      (10,  7,  45)
      (10,  8,   8)
      (10, 13,  63)
      (11,  3,  23)
      (11,  5,  82)
      (11,  7,  90)
      (11,  8,  50)
      (11,  9,  47)
      (11, 10,  61)
      (11, 13,  93)
      (12,  8,  44) }
------------------------- 

** G14: |V|=14, V={0..13}
(u, v, weight) E = { 
      ( 0,  7,  79)
      ( 0, 10,  88)
      ( 1,  9,  41)
      ( 1, 10,  39)
      ( 1, 13,  31)
      ( 2,  6,   7)
      ( 2,  7,  16)
      ( 2, 13,  50)
      ( 3,  5,  85)
      ( 3,  7,  69)
      ( 3, 13,  17)
      ( 4,  1,  90)
      ( 4,  2,  61)
      ( 4,  6,  47)
      ( 5,  1,  79)
      ( 5,  3,  38)
      ( 5,  6,  60)
      ( 5,  7,  31)
      ( 5,  9,  53)
      ( 5, 13,  68)
      ( 6,  1,  83)
      ( 6,  2,  69)
      ( 6,  4,  32)
      ( 6,  5,  46)
      ( 6,  7,  19)
      ( 6,  8,  39)
      ( 6, 12,  26)
      ( 7,  3,  20)
      ( 7,  6,  54)
      ( 7,  9,  50)
      ( 7, 11,  11)
      ( 8,  5,  26)
      ( 8,  7,  71)
      ( 9,  4,  90)
      ( 9,  8,  23)
      (10,  4,  85)
      (10,  7,  38)
      (11,  2,  63)
      (11,  3,  50)
      (11,  7,  21)
      (11,  9,  55)
      (12,  1,  48)
      (12,  7,  37)
      (12,  9,  36)
      (12, 13,  26) }
------------------------- 

** G15: |V|=14, V={0..13}
(u, v, weight) E = { 
      ( 0,  2,   1)
      ( 0,  3,  83)
      ( 0,  4,  28)
      ( 0,  8,  28)
      ( 0, 11,  75)
      ( 0, 12,  83)
      ( 1,  2,  55)
      ( 1,  4,  98)
      ( 1, 10,  49)
      ( 1, 11,  48)
      ( 2,  3,  89)
      ( 2,  9,  49)
      ( 2, 12,  77)
      ( 3,  4,  94)
      ( 3,  5,  94)
      ( 3, 12,  29)
      ( 4,  1,   5)
      ( 4,  3,   3)
      ( 4,  5,  51)
      ( 5, 11,  35)
      ( 5, 13,  19)
      ( 6,  2,  26)
      ( 6,  3,  22)
      ( 6,  5,  27)
      ( 6,  7,  14)
      ( 6,  8,  52)
      ( 7,  2,  59)
      ( 7,  3,  41)
      ( 7,  9,  55)
      ( 8,  1,  84)
      ( 8,  9,  52)
      ( 8, 12,  41)
      ( 9,  5,  76)
      ( 9,  6,  24)
      ( 9, 10,  31)
      ( 9, 12,  32)
      ( 9, 13,  90)
      (10,  3,  86)
      (10,  5,   7)
      (10,  7,  97)
      (10,  9,  62)
      (10, 11,  75)
      (11,  2,  79)
      (11,  3,  40)
      (11,  6,  51)
      (11,  7,  63)
      (12,  4,  62)
      (12,  6,  70)
      (12,  7,  87) }
------------------------- 

** G16: |V|=18, V={0..17}
(u, v, weight) E = { 
      ( 0,  4,  10)
      ( 0,  6,  12)
      ( 0,  8,  80)
      ( 0,  9,  22)
      ( 0, 10,  78)
      ( 1,  9,  73)
      ( 1, 12,  63)
      ( 1, 13,  69)
      ( 1, 17,   2)
      ( 2,  1,  97)
      ( 2, 13,  67)
      ( 3,  9,  71)
      ( 3, 11,  17)
      ( 3, 16,  37)
      ( 4,  1,  60)
      ( 4,  3,  32)
      ( 4,  7,  47)
      ( 4, 11,  37)
      ( 4, 12,   7)
      ( 4, 16,  46)
      ( 5,  2,  88)
      ( 5, 13,  51)
      ( 6,  1,  49)
      ( 6,  3,  11)
      ( 6,  4,  31)
      ( 6,  5,  11)
      ( 6,  8,  40)
      ( 6, 10,  46)
      ( 6, 15,  49)
      ( 7,  3,  68)
      ( 7,  4,  38)
      ( 7, 17,  15)
      ( 8,  1,  61)
      ( 8,  3,  90)
      ( 8,  4,  78)
      ( 8,  5,  33)
      ( 8,  7,  34)
      ( 8, 10,  57)
      ( 8, 14,  21)
      ( 9,  1,  58)
      ( 9,  5,  36)
      ( 9,  6,   7)
      ( 9, 10,  22)
      ( 9, 11,  30)
      ( 9, 14,  59)
      ( 9, 15,  12)
      (10,  3,  32)
      (10, 11,   7)
      (10, 12,  71)
      (10, 14,  10)
      (11,  5,  58)
      (11,  8,  99)
      (11, 13,   5)
      (11, 14,  25)
      (12,  2,  49)
      (12,  6,   7)
      (12,  7,  63)
      (12,  9,  51)
      (12, 13,   0)
      (12, 16,  64)
      (12, 17,  44)
      (13,  2,  21)
      (13, 14,  37)
      (13, 15,  29)
      (13, 17,  49)
      (14, 10,  53)
      (14, 16,  36)
      (15,  2,  30)
      (15,  4,  77)
      (15,  9,  63)
      (15, 12,   0)
      (16,  2,  71)
      (16,  3,  29)
      (16,  5,  57)
      (16,  7,  12)
      (16,  9,   4)
      (16, 12,  65) }
------------------------- 

** G17: |V|=18, V={0..17}
(u, v, weight) E = { 
      ( 0,  1,  20)
      ( 0,  5,  11)
      ( 0,  9,  12)
      ( 0, 13,  51)
      ( 0, 17,  68)
      ( 1,  3,  74)
      ( 1,  9,   0)
      ( 1, 14,   0)
      ( 1, 16,  96)
      ( 2,  4,  77)
      ( 2, 11,  92)
      ( 2, 14,  63)
      ( 3,  7,  63)
      ( 3,  8,   7)
      ( 3,  9,  88)
      ( 3, 14,  30)
      ( 3, 15,  16)
      ( 4,  5,  21)
      ( 4,  7,  32)
      ( 4,  8,  48)
      ( 4, 10,   4)
      ( 4, 12,  97)
      ( 4, 13,  82)
      ( 4, 16,  66)
      ( 5,  7,  92)
      ( 5,  8,  65)
      ( 5, 10,  28)
      ( 5, 14,  45)
      ( 5, 16,  76)
      ( 6,  4,  10)
      ( 7,  2,  25)
      ( 7,  4,  40)
      ( 7,  6,  72)
      ( 7, 11,  24)
      ( 7, 14,  40)
      ( 7, 17,   0)
      ( 8,  1,  54)
      ( 8,  4,  23)
      ( 8,  5,   9)
      ( 9,  2,  20)
      ( 9,  5,   4)
      ( 9, 13,   8)
      (10,  1,  75)
      (10,  2,  39)
      (10,  3,  36)
      (10, 13,  62)
      (11,  1,  47)
      (11,  3,  55)
      (11,  7,  58)
      (11,  9,  78)
      (11, 12,  69)
      (11, 13,  88)
      (11, 17,  87)
      (12,  2,  49)
      (12,  4,   1)
      (12,  7,  58)
      (12,  8,  96)
      (12, 14,  23)
      (12, 17,  78)
      (13,  3,  42)
      (13,  6,  56)
      (13, 11,  34)
      (14,  3,  46)
      (14,  4,  59)
      (14,  5,  57)
      (14,  8,  95)
      (14, 10,  99)
      (14, 11,   5)
      (14, 15,   7)
      (15,  4,  90)
      (15,  5,  11)
      (15,  6,   7)
      (15,  7,  63)
      (16,  5,  33)
      (16, 11,  68)
      (16, 13,  20)
      (16, 14,  15) }
------------------------- 

** G18: |V|=18, V={0..17}
(u, v, weight) E = { 
      ( 0,  2,  80)
      ( 0,  9,  98)
      ( 0, 11,  70)
      ( 0, 16,  55)
      ( 0, 17,  13)
      ( 2,  1,  43)
      ( 2,  4,  94)
      ( 2,  6,  91)
      ( 2,  9,  38)
      ( 2, 12,  54)
      ( 2, 13,  22)
      ( 2, 15,  88)
      ( 3,  1,  34)
      ( 3,  4,  77)
      ( 3,  5,  15)
      ( 3, 10,  52)
      ( 3, 16,  22)
      ( 3, 17,  32)
      ( 4,  8,  32)
      ( 4, 11,  32)
      ( 5,  1,  28)
      ( 5,  3,  13)
      ( 5,  4,   4)
      ( 5,  7,  86)
      ( 5, 10,  46)
      ( 5, 13,   8)
      ( 6,  2,  14)
      ( 6,  3,  70)
      ( 6,  4,  19)
      ( 6, 10,  63)
      ( 6, 12,  37)
      ( 6, 13,  16)
      ( 6, 14,  91)
      ( 6, 17,  43)
      ( 7,  1,  93)
      ( 7,  4,  59)
      ( 7,  5,  54)
      ( 7,  9,  73)
      ( 7, 14,  38)
      ( 7, 15,   2)
      ( 8,  1,  15)
      ( 8,  2,  38)
      ( 8,  5,  48)
      ( 8, 11,  86)
      ( 8, 13,  89)
      ( 8, 16,  60)
      ( 9,  3,  20)
      ( 9,  5,  19)
      ( 9,  7,  57)
      ( 9, 10,  69)
      ( 9, 15,  65)
      ( 9, 16,  11)
      (10,  1,  41)
      (10,  2,  12)
      (10,  4,  26)
      (10,  6,  63)
      (10,  8,   6)
      (10, 11,  16)
      (10, 13,  98)
      (10, 15,   6)
      (11,  1,  29)
      (11,  6,  10)
      (11,  8,  26)
      (11, 10,  76)
      (11, 15,  34)
      (12,  4,  27)
      (12,  7,  60)
      (12, 11,   8)
      (12, 13,  11)
      (12, 14,  84)
      (12, 16,  37)
      (13,  2,  23)
      (13,  6,  60)
      (13,  7,  80)
      (13, 11,  83)
      (14,  8,  47)
      (14, 13,  81)
      (14, 17,  32)
      (15,  4,  45)
      (15,  5,  63)
      (15,  7,  67)
      (16,  6,  22)
      (16, 10,   8)
      (16, 11,  74)
      (16, 12,  60)
      (16, 15,   7)
      (16, 17,  82) }
------------------------- 

** G19: |V|=18, V={0..17}
(u, v, weight) E = { 
      ( 0,  1,  74)
      ( 0,  2,  24)
      ( 0,  3,  58)
      ( 0,  5,  26)
      ( 0,  7,  81)
      ( 0,  9,  87)
      ( 0, 13,  91)
      ( 0, 14,  58)
      ( 1,  2,  87)
      ( 1,  5,  63)
      ( 1,  7,  48)
      ( 1, 16,  95)
      ( 2,  7,  66)
      ( 2,  8,  73)
      ( 2, 15,   0)
      ( 3,  2,  15)
      ( 3, 10,  29)
      ( 3, 14,  81)
      ( 3, 15,  52)
      ( 3, 17,  96)
      ( 4,  5,  23)
      ( 4,  7,  64)
      ( 4, 13,  87)
      ( 5,  6,  85)
      ( 5,  8,  26)
      ( 5,  9,  71)
      ( 5, 15,   9)
      ( 5, 17,  77)
      ( 6,  1,  57)
      ( 6,  8,  92)
      ( 6, 14,  77)
      ( 6, 17,  90)
      ( 7,  1,  79)
      ( 7,  4,  39)
      ( 7,  8,  32)
      ( 7,  9,  17)
      ( 7, 10,  30)
      ( 7, 12,   0)
      ( 7, 13,  22)
      ( 7, 15,  93)
      ( 8,  2,  74)
      ( 8,  3,  12)
      ( 8, 10,  74)
      ( 8, 11,  19)
      ( 8, 15,  37)
      ( 9,  7,  81)
      ( 9,  8,  80)
      ( 9, 16,  64)
      (10,  8,  65)
      (10,  9,  91)
      (10, 11,  65)
      (10, 12,  18)
      (10, 13,  84)
      (10, 17,  11)
      (11,  3,  18)
      (11,  8,  61)
      (11, 12,  63)
      (11, 14,  55)
      (11, 15,  52)
      (11, 16,   1)
      (11, 17,  19)
      (12,  2,  95)
      (12,  4,  37)
      (12,  6,  28)
      (12,  9,  21)
      (12, 15,  52)
      (12, 17,  16)
      (13,  3,  32)
      (13,  4,  70)
      (13,  5,  13)
      (14,  3,  94)
      (14,  5,  38)
      (14,  6,  24)
      (14,  8,  13)
      (14,  9,  41)
      (14, 11,  30)
      (14, 15,   2)
      (14, 16,  49)
      (14, 17,  25)
      (15,  9,  93)
      (16,  2,  27)
      (16,  6,  12)
      (16,  9,  59)
      (16, 12,  78)
      (16, 13,  91) }
------------------------- 

** G20: |V|=18, V={0..17}
(u, v, weight) E = { 
      ( 0,  2,   0)
      ( 0,  4,  86)
      ( 0, 10,  18)
      ( 0, 12,  98)
      ( 1,  2,  93)
      ( 1,  3,  28)
      ( 1,  5,  87)
      ( 1,  7,  23)
      ( 1, 15,  29)
      ( 1, 16,  55)
      ( 1, 17,  65)
      ( 2,  3,  78)
      ( 2,  9,  64)
      ( 2, 11,  27)
      ( 3,  1,  80)
      ( 3,  4,  79)
      ( 3,  6,  17)
      ( 3, 16,  90)
      ( 3, 17,  76)
      ( 4,  1,  11)
      ( 4,  2,  40)
      ( 4,  5,  23)
      ( 4,  8,  96)
      ( 4, 14,  73)
      ( 4, 17,  21)
      ( 5,  3,  91)
      ( 5, 10,  51)
      ( 5, 12,  58)
      ( 6,  1,  18)
      ( 6,  4,  34)
      ( 6, 10,  61)
      ( 6, 16,  61)
      ( 7,  2,  94)
      ( 7,  6,  28)
      ( 7, 13,   2)
      ( 7, 14,  88)
      ( 8,  5,   2)
      ( 8, 12,  80)
      ( 8, 13,  28)
      ( 9,  1,  66)
      ( 9,  2,  86)
      ( 9, 10,  19)
      ( 9, 11,   3)
      (10,  5,  35)
      (10,  8,   3)
      (10,  9,  58)
      (10, 12,  59)
      (10, 14,  26)
      (10, 16,  76)
      (11,  6,  62)
      (11,  7,  38)
      (11, 13,  76)
      (11, 17,  55)
      (12,  1,  62)
      (12,  3,  97)
      (12,  5,   4)
      (13,  2,  59)
      (13,  6,  44)
      (13,  7,  35)
      (13,  8,  36)
      (13, 12,  83)
      (13, 14,  99)
      (14,  3,  30)
      (14,  4,  11)
      (14,  5,  41)
      (14, 15,  63)
      (15,  4,  30)
      (15, 13,  71)
      (15, 16,  62)
      (16,  4,  33)
      (16,  5,  42)
      (16,  6,  50)
      (16, 10,  31)
      (16, 15,  73) }
------------------------- 

