20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      (13, 21, 0.483)
      (13, 25, 0.520)
      (13, 29, 0.349)
      (14, 15, 0.402)
      (14, 17, 0.636)
      (14, 18, 0.034)
      (14, 19, 0.581)
      (14, 20, 0.277)
      (14, 21, 0.673)
      (14, 25, 0.105)
      (14, 28, 0.561)
      (14, 29, 0.521)
      (15, 16, 0.965)
      (15, 17, 0.167)
      (15, 19, 0.456)
      (15, 20, 0.066)
      (15, 23, 0.065)
      (15, 25, 0.652)
      (15, 26, 0.138)
      (15, 28, 0.978)
      (16, 23, 0.434)
      (16, 24, 0.043)
      (16, 29, 0.460)
      (17, 18, 0.939)
      (17, 27, 0.604)
      (17, 29, 0.807)
      (18, 19, 0.773)
      (18, 23, 0.809)
      (18, 24, 0.383)
      (18, 27, 0.921)
      (18, 28, 0.527)
      (18, 29, 0.649)
      (19, 24, 0.657)
      (19, 26, 0.765)
      (19, 27, 0.725)
      (19, 28, 0.318)
      (19, 29, 0.464)
      (20, 21, 0.847)
      (20, 27, 0.697)
      (20, 29, 0.553)
      (21, 23, 0.522)
      (21, 24, 0.990)
      (21, 25, 0.101)
      (21, 27, 0.277)
      (22, 26, 0.068)
      (23, 24, 0.325)
      (23, 28, 0.334)
      (24, 26, 0.712)
      (24, 27, 0.942)
      (24, 29, 0.675)
      (25, 26, 0.565)
      (25, 27, 0.770)
      (25, 29, 0.107)
      (26, 27, 0.689)
      (27, 28, 0.402)
      (28, 29, 0.110) }
---------------- 

** G4: |V|=40  V={0,1,...,39}
(u, v, w) E = { 
      ( 0,  2, 0.232)
      ( 0,  5, 0.856)
      ( 0,  7, 0.853)
      ( 0,  8, 0.459)
      ( 0, 10, 0.746)
      ( 0, 12, 0.104)
      ( 0, 13, 0.289)
      ( 0, 15, 0.221)
      ( 0, 16, 0.044)
      ( 0, 19, 0.124)
      ( 0, 21, 0.700)
      ( 0, 22, 0.662)
      ( 0, 25, 0.684)
      ( 0, 26, 0.648)
      ( 0, 28, 0.877)
      ( 0, 30, 0.217)
      ( 0, 31, 0.780)
      ( 0, 32, 0.963)
      ( 0, 33, 0.329)
      ( 0, 36, 0.003)
      ( 0, 37, 0.687)
      ( 0, 38, 0.308)
      ( 0, 39, 0.062)
      ( 1,  9, 0.734)
      ( 1, 12, 0.847)
      ( 1, 14, 0.417)
      ( 1, 16, 0.470)
      ( 1, 17, 0.743)
      ( 1, 18, 0.724)
      ( 1, 19, 0.064)
      ( 1, 20, 0.413)
      ( 1, 21, 0.087)
      ( 1, 22, 0.827)
      ( 1, 23, 0.325)
      ( 1, 28, 0.317)
      ( 1, 29, 0.917)
      ( 1, 30, 0.500)
      ( 1, 31, 0.980)
      ( 1, 33, 0.933)
      ( 1, 35, 0.726)
      ( 1, 36, 0.329)
      ( 1, 38, 0.959)
      ( 1, 39, 0.217)
      ( 2,  3, 0.844)
      ( 2,  5, 0.730)
      ( 2,  8, 0.975)
      ( 2,  9, 0.610)
      ( 2, 10, 0.540)
      ( 2, 12, 0.517)
      ( 2, 13, 0.503)
      ( 2, 16, 0.943)
      ( 2, 17, 0.423)
      ( 2, 18, 0.042)
      ( 2, 19, 0.114)
      ( 2, 21, 0.036)
      ( 2, 25, 0.376)
      ( 2, 27, 0.778)
      ( 2, 28, 0.744)
      ( 2, 29, 0.063)
      ( 2, 30, 0.143)
      ( 2, 31, 0.082)
      ( 2, 33, 0.847)
      ( 2, 34, 0.711)
      ( 2, 36, 0.822)
      ( 2, 39, 0.214)
      ( 3,  4, 0.567)
      ( 3,  7, 0.152)
      ( 3,  8, 0.944)
      ( 3,  9, 0.621)
      ( 3, 10, 0.964)
      ( 3, 13, 0.923)
      ( 3, 16, 0.514)
      ( 3, 18, 0.888)
      ( 3, 19, 0.094)
      ( 3, 21, 0.858)
      ( 3, 25, 0.373)
      ( 3, 27, 0.750)
      ( 3, 28, 0.200)
      ( 3, 30, 0.311)
      ( 3, 31, 0.534)
      ( 3, 32, 0.039)
      ( 3, 33, 0.576)
      ( 3, 37, 0.074)
      ( 3, 38, 0.653)
      ( 3, 39, 0.465)
      ( 4,  8, 0.741)
      ( 4,  9, 0.518)
      ( 4, 14, 0.654)
      ( 4, 15, 0.686)
      ( 4, 17, 0.371)
      ( 4, 18, 0.719)
      ( 4, 19, 0.622)
      ( 4, 20, 0.216)
      ( 4, 21, 0.089)
      ( 4, 23, 0.537)
      ( 4, 24, 0.484)
      ( 4, 26, 0.320)
      ( 4, 29, 0.623)
      ( 4, 31, 0.876)
      ( 4, 33, 0.656)
      ( 4, 35, 0.229)
      ( 4, 39, 0.006)
      ( 5,  8, 0.652)
      ( 5,  9, 0.793)
      ( 5, 13, 0.630)
      ( 5, 16, 0.480)
      ( 5, 19, 0.308)
      ( 5, 20, 0.022)
      ( 5, 24, 0.680)
      ( 5, 25, 0.526)
      ( 5, 30, 0.079)
      ( 5, 31, 0.546)
      ( 5, 32, 0.446)
      ( 5, 39, 0.943)
      ( 6, 27, 0.579)
      ( 7,  8, 0.302)
      ( 7,  9, 0.025)
      ( 7, 10, 0.242)
      ( 7, 13, 0.709)
      ( 7, 14, 0.448)
      ( 7, 15, 0.350)
      ( 7, 16, 0.709)
      ( 7, 20, 0.320)
      ( 7, 21, 0.804)
      ( 7, 22, 0.056)
      ( 7, 25, 0.344)
      ( 7, 26, 0.565)
      ( 7, 27, 0.014)
      ( 7, 28, 0.634)
      ( 7, 32, 0.590)
      ( 7, 33, 0.350)
      ( 7, 34, 0.122)
      ( 7, 36, 0.504)
      ( 7, 38, 0.136)
      ( 7, 39, 0.860)
      ( 8,  9, 0.464)
      ( 8, 12, 0.563)
      ( 8, 14, 0.371)
      ( 8, 15, 0.700)
      ( 8, 17, 0.247)
      ( 8, 18, 0.248)
      ( 8, 21, 0.001)
      ( 8, 22, 0.785)
      ( 8, 23, 0.973)
      ( 8, 25, 0.112)
      ( 8, 27, 0.184)
      ( 8, 28, 0.762)
      ( 8, 29, 0.899)
      ( 8, 33, 0.458)
      ( 8, 34, 0.035)
      ( 8, 36, 0.400)
      ( 8, 37, 0.061)
      ( 8, 39, 0.643)
      ( 9, 10, 0.771)
      ( 9, 11, 0.081)
      ( 9, 12, 0.990)
      ( 9, 13, 0.217)
      ( 9, 18, 0.826)
      ( 9, 20, 0.265)
      ( 9, 21, 0.161)
      ( 9, 22, 0.199)
      ( 9, 23, 0.215)
      ( 9, 27, 0.540)
      ( 9, 29, 0.362)
      ( 9, 30, 0.467)
      ( 9, 38, 0.102)
      ( 9, 39, 0.682)
      (10, 12, 0.645)
      (10, 13, 0.352)
      (10, 14, 0.989)
      (10, 15, 0.945)
      (10, 16, 0.238)
      (10, 18, 0.323)
      (10, 23, 0.209)
      (10, 25, 0.684)
      (10, 26, 0.846)
      (10, 27, 0.812)
      (10, 28, 0.427)
      (10, 29, 0.261)
      (10, 30, 0.015)
      (10, 31, 0.076)
      (10, 33, 0.664)
      (10, 34, 0.144)
      (10, 35, 0.867)
      (10, 38, 0.228)
      (10, 39, 0.968)
      (11, 13, 0.004)
      (11, 15, 0.337)
      (11, 17, 0.466)
      (11, 19, 0.227)
      (11, 20, 0.640)
      (11, 21, 0.199)
      (11, 22, 0.868)
      (11, 23, 0.753)
      (11, 24, 0.542)
      (11, 28, 0.589)
      (11, 29, 0.012)
      (11, 30, 0.247)
      (11, 31, 0.944)
      (11, 32, 0.442)
      (11, 34, 0.137)
      (11, 35, 0.440)
      (11, 36, 0.309)
      (11, 37, 0.230)
      (11, 39, 0.501)
      (12, 13, 0.218)
      (12, 14, 0.271)
      (12, 17, 0.672)
      (12, 18, 0.102)
      (12, 20, 0.328)
      (12, 26, 0.192)
      (12, 27, 0.627)
      (12, 29, 0.926)
      (12, 31, 0.807)
      (12, 33, 0.678)
      (12, 35, 0.213)
      (12, 36, 0.485)
      (12, 38, 0.143)
      (13, 15, 0.578)
      (13, 17, 0.294)
      (13, 18, 0.445)
      (13, 19, 0.790)
      (13, 22, 0.210)
      (13, 24, 0.886)
      (13, 28, 0.801)
      (13, 30, 0.065)
      (13, 35, 0.841)
      (13, 37, 0.699)
      (14, 15, 0.187)
      (14, 16, 0.648)
      (14, 17, 0.712)
      (14, 18, 0.979)
      (14, 19, 0.591)
      (14, 23, 0.877)
      (14, 24, 0.245)
      (14, 32, 0.054)
      (14, 38, 0.962)
      (14, 39, 0.776)
      (15, 17, 0.399)
      (15, 18, 0.514)
      (15, 19, 0.938)
      (15, 22, 0.295)
      (15, 25, 0.539)
      (15, 27, 0.739)
      (15, 28, 0.193)
      (15, 31, 0.536)
      (15, 34, 0.596)
      (15, 36, 0.566)
      (15, 37, 0.712)
      (15, 39, 0.862)
      (16, 17, 0.736)
      (16, 20, 0.277)
      (16, 22, 0.641)
      (16, 24, 0.629)
      (16, 26, 0.246)
      (16, 27, 0.678)
      (16, 28, 0.222)
      (16, 29, 0.975)
      (16, 33, 0.831)
      (16, 36, 0.019)
      (16, 37, 0.730)
      (16, 38, 0.500)
      (16, 39, 0.089)
      (17, 20, 0.666)
      (17, 21, 0.240)
      (17, 25, 0.917)
      (17, 26, 0.467)
      (17, 27, 0.945)
      (17, 28, 0.553)
      (17, 30, 0.757)
      (17, 31, 0.630)
      (17, 32, 0.337)
      (17, 34, 0.558)
      (17, 35, 0.966)
      (17, 36, 0.799)
      (17, 37, 0.248)
      (17, 38, 0.860)
      (17, 39, 0.826)
      (18, 20, 0.273)
      (18, 21, 0.913)
      (18, 22, 0.552)
      (18, 23, 0.958)
      (18, 24, 0.060)
      (18, 26, 0.604)
      (18, 27, 0.600)
      (18, 28, 0.303)
      (18, 32, 0.256)
      (18, 33, 0.191)
      (18, 35, 0.415)
      (18, 36, 0.870)
      (18, 37, 0.582)
      (18, 38, 0.298)
      (19, 20, 0.846)
      (19, 21, 0.745)
      (19, 23, 0.266)
      (19, 26, 0.729)
      (19, 27, 0.021)
      (19, 30, 0.305)
      (19, 35, 0.286)
      (19, 38, 0.598)
      (19, 39, 0.141)
      (20, 21, 0.859)
      (20, 22, 0.853)
      (20, 24, 0.585)
      (20, 25, 0.604)
      (20, 26, 0.940)
      (20, 29, 0.869)
      (20, 31, 0.064)
      (20, 33, 0.613)
      (20, 34, 0.310)
      (20, 35, 0.037)
      (20, 38, 0.411)
      (21, 25, 0.689)
      (21, 30, 0.317)
      (21, 31, 0.231)
      (21, 34, 0.673)
      (21, 35, 0.406)
      (21, 36, 0.633)
      (21, 38, 0.723)
      (21, 39, 0.912)
      (22, 23, 0.974)
      (22, 24, 0.553)
      (22, 25, 0.857)
      (22, 26, 0.948)
      (22, 29, 0.243)
      (22, 30, 0.962)
      (22, 31, 0.814)
      (22, 32, 0.980)
      (22, 33, 0.099)
      (22, 34, 0.829)
      (22, 36, 0.182)
      (22, 38, 0.472)
      (23, 24, 0.201)
      (23, 28, 0.547)
      (23, 29, 0.139)
      (23, 31, 0.026)
      (23, 32, 0.501)
      (23, 34, 0.750)
      (23, 35, 0.191)
      (23, 38, 0.477)
      (23, 39, 0.003)
      (24, 28, 0.293)
      (24, 29, 0.592)
      (24, 31, 0.285)
      (24, 32, 0.785)
      (24, 33, 0.920)
      (24, 35, 0.739)
      (24, 36, 0.395)
      (24, 37, 0.391)
      (24, 39, 0.779)
      (25, 26, 0.087)
      (25, 29, 0.158)
      (25, 31, 0.309)
      (25, 33, 0.344)
      (25, 34, 0.373)
      (25, 39, 0.542)
      (26, 28, 0.414)
      (26, 29, 0.495)
      (26, 31, 0.237)
      (26, 32, 0.847)
      (26, 33, 0.928)
      (26, 39, 0.485)
      (27, 28, 0.641)
      (27, 30, 0.348)
      (27, 31, 0.669)
      (27, 34, 0.252)
      (27, 35, 0.856)
      (27, 36, 0.833)
      (27, 37, 0.081)
      (27, 38, 0.092)
      (28, 29, 0.142)
      (28, 30, 0.777)
      (28, 32, 0.848)
      (28, 34, 0.006)
      (28, 35, 0.690)
      (28, 36, 0.979)
      (28, 38, 0.666)
      (28, 39, 0.133)
      (29, 30, 0.831)
      (29, 32, 0.870)
      (29, 35, 0.114)
      (29, 36, 0.556)
      (29, 37, 0.982)
      (29, 38, 0.294)
      (30, 31, 0.395)
      (30, 32, 0.436)
      (30, 35, 0.327)
      (30, 37, 0.553)
      (30, 38, 0.166)
      (31, 32, 0.842)
      (31, 35, 0.768)
      (31, 37, 0.641)
      (31, 38, 0.567)
      (31, 39, 0.893)
      (32, 34, 0.226)
      (32, 36, 0.132)
      (32, 39, 0.029)
      (33, 36, 0.817)
      (33, 37, 0.026)
      (33, 38, 0.927)
      (33, 39, 0.459)
      (34, 38, 0.306)
      (35, 36, 0.676)
      (35, 38, 0.118)
      (35, 39, 0.891)
      (36, 39, 0.121)
      (37, 39, 0.057) }
---------------- 

** G5: |V|=50  V={0,1,...,49}
(u, v, w) E = { 
      ( 0,  1, 0.501)
      ( 0,  2, 0.598)
      ( 0,  4, 0.555)
      ( 0,  5, 0.073)
      ( 0,  8, 0.338)
      ( 0, 10, 0.907)
      ( 0, 11, 0.280)
      ( 0, 12, 0.233)
      ( 0, 14, 0.730)
      ( 0, 15, 0.103)
      ( 0, 16, 0.737)
      ( 0, 17, 0.690)
      ( 0, 19, 0.795)
      ( 0, 21, 0.573)
      ( 0, 22, 0.936)
      ( 0, 23, 0.050)
      ( 0, 24, 0.090)
      ( 0, 26, 0.054)
      ( 0, 27, 0.963)
      ( 0, 28, 0.138)
      ( 0, 29, 0.977)
      ( 0, 30, 0.884)
      ( 0, 31, 0.891)
      ( 0, 32, 0.042)
      ( 0, 33, 0.591)
      ( 0, 34, 0.605)
      ( 0, 35, 0.221)
      ( 0, 37, 0.304)
      ( 0, 42, 0.202)
      ( 0, 43, 0.740)
      ( 0, 44, 0.009)
      ( 0, 45, 0.443)
      ( 0, 46, 0.512)
      ( 0, 48, 0.640)
      ( 0, 49, 0.777)
      ( 1,  2, 0.928)
      ( 1,  3, 0.902)
      ( 1,  4, 0.408)
      ( 1,  6, 0.598)
      ( 1,  9, 0.239)
      ( 1, 13, 0.940)
      ( 1, 14, 0.028)
      ( 1, 17, 0.281)
      ( 1, 18, 0.654)
      ( 1, 19, 0.526)
      ( 1, 21, 0.002)
      ( 1, 24, 0.430)
      ( 1, 25, 0.983)
      ( 1, 28, 0.894)
      ( 1, 30, 0.989)
      ( 1, 31, 0.216)
      ( 1, 34, 0.533)
      ( 1, 35, 0.300)
      ( 1, 40, 0.169)
      ( 1, 41, 0.163)
      ( 1, 42, 0.205)
      ( 1, 43, 0.661)
      ( 1, 45, 0.321)
      ( 1, 46, 0.852)
      ( 1, 49, 0.815)
      ( 2,  3, 0.577)
      ( 2,  4, 0.865)
      ( 2,  8, 0.439)
      ( 2, 10, 0.341)
      ( 2, 11, 0.149)
      ( 2, 12, 0.498)
      ( 2, 13, 0.122)
      ( 2, 14, 0.079)
      ( 2, 15, 0.741)
      ( 2, 16, 0.331)
      ( 2, 17, 0.188)
      ( 2, 18, 0.392)
      ( 2, 19, 0.396)
      ( 2, 20, 0.884)
      ( 2, 21, 0.069)
      ( 2, 23, 0.022)
      ( 2, 25, 0.894)
      ( 2, 27, 0.672)
      ( 2, 29, 0.949)
      ( 2, 31, 0.744)
      ( 2, 34, 0.558)
      ( 2, 35, 0.574)
      ( 2, 37, 0.777)
      ( 2, 42, 0.478)
      ( 2, 43, 0.793)
      ( 2, 46, 0.654)
      ( 3,  5, 0.214)
      ( 3,  8, 0.836)
      ( 3, 13, 0.974)
      ( 3, 14, 0.614)
      ( 3, 15, 0.959)
      ( 3, 17, 0.484)
      ( 3, 18, 0.767)
      ( 3, 20, 0.593)
      ( 3, 21, 0.095)
      ( 3, 22, 0.635)
      ( 3, 25, 0.173)
      ( 3, 27, 0.600)
      ( 3, 30, 0.590)
      ( 3, 31, 0.447)
      ( 3, 33, 0.578)
      ( 3, 35, 0.479)
      ( 3, 36, 0.847)
      ( 3, 37, 0.086)
      ( 3, 39, 0.900)
      ( 3, 42, 0.918)
      ( 3, 43, 0.261)
      ( 3, 44, 0.748)
      ( 3, 45, 0.454)
      ( 3, 46, 0.707)
      ( 3, 47, 0.034)
      ( 3, 48, 0.997)
      ( 3, 49, 0.525)
      ( 4,  5, 0.119)
      ( 4,  6, 0.166)
      ( 4,  8, 0.329)
      ( 4,  9, 0.767)
      ( 4, 10, 0.039)
      ( 4, 11, 0.367)
      ( 4, 13, 0.042)
      ( 4, 15, 0.420)
      ( 4, 21, 0.196)
      ( 4, 22, 0.866)
      ( 4, 23, 0.093)
      ( 4, 27, 0.078)
      ( 4, 28, 0.687)
      ( 4, 29, 0.505)
      ( 4, 30, 0.828)
      ( 4, 31, 0.159)
      ( 4, 32, 0.748)
      ( 4, 35, 0.259)
      ( 4, 36, 0.185)
      ( 4, 37, 0.517)
      ( 4, 40, 0.634)
      ( 4, 41, 0.353)
      ( 4, 43, 0.206)
      ( 4, 44, 0.642)
      ( 4, 45, 0.307)
      ( 4, 47, 0.402)
      ( 4, 49, 0.455)
      ( 5,  7, 0.730)
      ( 5,  8, 0.582)
      ( 5,  9, 0.639)
      ( 5, 10, 0.286)
      ( 5, 12, 0.478)
      ( 5, 13, 0.311)
      ( 5, 14, 0.100)
      ( 5, 18, 0.686)
      ( 5, 20, 0.854)
      ( 5, 22, 0.149)
      ( 5, 23, 0.810)
      ( 5, 24, 0.834)
      ( 5, 25, 0.236)
      ( 5, 28, 0.495)
      ( 5, 29, 0.431)
      ( 5, 30, 0.394)
      ( 5, 32, 0.255)
      ( 5, 34, 0.195)
      ( 5, 35, 0.527)
      ( 5, 37, 0.989)
      ( 5, 41, 0.408)
      ( 5, 42, 0.692)
      ( 5, 43, 0.598)
      ( 5, 44, 0.273)
      ( 5, 45, 0.990)
      ( 6,  9, 0.414)
      ( 6, 11, 0.298)
      ( 6, 12, 0.510)
      ( 6, 13, 0.184)
      ( 6, 14, 0.299)
      ( 6, 15, 0.788)
      ( 6, 17, 0.592)
      ( 6, 18, 0.227)
      ( 6, 20, 0.556)
      ( 6, 22, 0.035)
      ( 6, 31, 0.974)
      ( 6, 33, 0.378)
      ( 6, 35, 0.919)
      ( 6, 39, 0.933)
      ( 6, 40, 0.119)
      ( 6, 42, 0.085)
      ( 6, 45, 0.921)
      ( 6, 48, 0.564)
      ( 6, 49, 0.624)
      ( 7,  8, 0.114)
      ( 7,  9, 0.927)
      ( 7, 11, 0.542)
      ( 7, 12, 0.386)
      ( 7, 14, 0.623)
      ( 7, 15, 0.999)
      ( 7, 17, 0.380)
      ( 7, 18, 0.819)
      ( 7, 23, 0.113)
      ( 7, 24, 0.961)
      ( 7, 26, 0.015)
      ( 7, 27, 0.362)
      ( 7, 28, 0.952)
      ( 7, 29, 0.382)
