1 graphs. These are undirected weighted graphs; all are reachable from vertex 0.

** G1: |V| = 200
(u, v) E = { 
      ( 2, 125, 0.07610)
      ( 2, 126, 0.76839)
      ( 2, 127, 0.51973)
      ( 2, 128, 0.93047)
      ( 2, 133, 0.42335)
      ( 2, 134, 0.92371)
      ( 2, 135, 0.23778)
      ( 2, 141, 0.90086)
      ( 2, 143, 0.46664)
      ( 2, 145, 0.57710)
      ( 2, 146, 0.35708)
      ( 2, 151, 0.88160)
      ( 2, 153, 0.01920)
      ( 2, 154, 0.70537)
      ( 2, 158, 0.77744)
      ( 2, 161, 0.31839)
      ( 2, 162, 0.24342)
      ( 2, 163, 0.12499)
      ( 2, 164, 0.11561)
      ( 2, 165, 0.42670)
      ( 2, 168, 0.31647)
      ( 2, 169, 0.71297)
      ( 2, 171, 0.48837)
      ( 2, 176, 0.40448)
      ( 2, 177, 0.79337)
      ( 2, 179, 0.19495)
      ( 2, 184, 0.84000)
      ( 2, 186, 0.67416)
      ( 2, 188, 0.49577)
      ( 2, 191, 0.92851)
      ( 2, 192, 0.37206)
      ( 3,  5, 0.25802)
      ( 3,  6, 0.72157)
      ( 3,  7, 0.77509)
      ( 3,  8, 0.83315)
      ( 3,  9, 0.41309)
      ( 3, 11, 0.18528)
      ( 3, 12, 0.44378)
      ( 3, 13, 0.11710)
      ( 3, 14, 0.62265)
      ( 3, 15, 0.66385)
      ( 3, 16, 0.37579)
      ( 3, 18, 0.00048)
      ( 3, 20, 0.54898)
      ( 3, 23, 0.13098)
      ( 3, 24, 0.75709)
      ( 3, 25, 0.24572)
      ( 3, 29, 0.01695)
      ( 3, 36, 0.94526)
      ( 3, 37, 0.51355)
      ( 3, 41, 0.72927)
      ( 3, 45, 0.79138)
      ( 3, 46, 0.49219)
      ( 3, 47, 0.71601)
      ( 3, 48, 0.37883)
      ( 3, 49, 0.29826)
      ( 3, 50, 0.02821)
      ( 3, 51, 0.74661)
      ( 3, 52, 0.53443)
      ( 3, 55, 0.40650)
      ( 3, 57, 0.37186)
      ( 3, 60, 0.31664)
      ( 3, 61, 0.05521)
      ( 3, 62, 0.20631)
      ( 3, 63, 0.29736)
      ( 3, 65, 0.37535)
      ( 3, 66, 0.06146)
      ( 3, 68, 0.07867)
      ( 3, 69, 0.06611)
      ( 3, 72, 0.48734)
      ( 3, 73, 0.89817)
      ( 3, 74, 0.42803)
      ( 3, 82, 0.27834)
      ( 3, 83, 0.56383)
      ( 3, 84, 0.70725)
      ( 3, 88, 0.29947)
      ( 3, 89, 0.59787)
      ( 3, 90, 0.43343)
      ( 3, 91, 0.56929)
      ( 3, 92, 0.35451)
      ( 3, 97, 0.60144)
      ( 3, 100, 0.83423)
      ( 3, 101, 0.88071)
      ( 3, 102, 0.02377)
      ( 3, 104, 0.59584)
      ( 3, 112, 0.53696)
      ( 3, 117, 0.14300)
      ( 3, 118, 0.16631)
      ( 3, 120, 0.40345)
      ( 3, 121, 0.03104)
      ( 3, 122, 0.07562)
      ( 3, 123, 0.22173)
      ( 3, 124, 0.38895)
      ( 3, 126, 0.65592)
      ( 3, 132, 0.35775)
      ( 3, 134, 0.18838)
      ( 3, 135, 0.00210)
      ( 3, 136, 0.37518)
      ( 3, 139, 0.96050)
      ( 3, 140, 0.26691)
      ( 3, 141, 0.80557)
      ( 3, 142, 0.51610)
      ( 3, 144, 0.94287)
      ( 3, 147, 0.62898)
      ( 3, 148, 0.57427)
      ( 3, 151, 0.09810)
      ( 3, 152, 0.33586)
      ( 3, 153, 0.01624)
      ( 3, 154, 0.88052)
      ( 3, 155, 0.45411)
      ( 3, 157, 0.49464)
      ( 3, 164, 0.36706)
      ( 3, 165, 0.64526)
      ( 3, 166, 0.09188)
      ( 3, 167, 0.67127)
      ( 3, 171, 0.75983)
      ( 3, 172, 0.65136)
      ( 3, 174, 0.16782)
      ( 3, 175, 0.82251)
      ( 3, 176, 0.29158)
      ( 3, 177, 0.66963)
      ( 3, 179, 0.13740)
      ( 3, 180, 0.31877)
      ( 3, 189, 0.70961)
      ( 3, 191, 0.95091)
      ( 3, 193, 0.37720)
      ( 3, 194, 0.55265)
      ( 3, 195, 0.69851)
      ( 3, 196, 0.32814)
      ( 3, 198, 0.51307)
      ( 4,  3, 0.53037)
      ( 4,  6, 0.05498)
      ( 4,  7, 0.08121)
      ( 4,  8, 0.28361)
      ( 4,  9, 0.20670)
      ( 4, 12, 0.48731)
      ( 4, 14, 0.45293)
      ( 4, 15, 0.91659)
      ( 4, 19, 0.06790)
      ( 4, 20, 0.04073)
      ( 4, 21, 0.76085)
      ( 4, 22, 0.68697)
      ( 4, 24, 0.48468)
      ( 4, 25, 0.29567)
      ( 4, 30, 0.02459)
      ( 4, 31, 0.28314)
      ( 4, 33, 0.77085)
      ( 4, 35, 0.48657)
      ( 4, 37, 0.41698)
      ( 4, 38, 0.36893)
      ( 4, 39, 0.87711)
      ( 4, 40, 0.10032)
      ( 4, 41, 0.06285)
      ( 4, 43, 0.28942)
      ( 4, 50, 0.48235)
      ( 4, 52, 0.54632)
      ( 4, 56, 0.84882)
      ( 4, 57, 0.18648)
      ( 4, 59, 0.86058)
      ( 4, 60, 0.72195)
      ( 4, 61, 0.85376)
      ( 4, 62, 0.29094)
      ( 4, 67, 0.89368)
      ( 4, 68, 0.03954)
      ( 4, 69, 0.59921)
      ( 4, 72, 0.81020)
      ( 4, 75, 0.46347)
      ( 4, 76, 0.38060)
      ( 4, 77, 0.54850)
      ( 4, 79, 0.30863)
      ( 4, 84, 0.32341)
      ( 4, 85, 0.70804)
      ( 4, 86, 0.48436)
      ( 4, 87, 0.54763)
      ( 4, 88, 0.90523)
      ( 4, 89, 0.58769)
      ( 4, 90, 0.75652)
      ( 4, 93, 0.56486)
      ( 4, 94, 0.45574)
      ( 4, 95, 0.03196)
      ( 4, 97, 0.72806)
      ( 4, 99, 0.98514)
      ( 4, 101, 0.87094)
      ( 4, 102, 0.50721)
      ( 4, 103, 0.93024)
      ( 4, 109, 0.48812)
      ( 4, 110, 0.63348)
      ( 4, 111, 0.29275)
      ( 4, 112, 0.68762)
      ( 4, 114, 0.96403)
      ( 4, 115, 0.67492)
      ( 4, 117, 0.98693)
      ( 4, 118, 0.60779)
      ( 4, 121, 0.61697)
      ( 4, 124, 0.86390)
      ( 4, 128, 0.95147)
      ( 4, 130, 0.39401)
      ( 4, 131, 0.06665)
      ( 4, 136, 0.15293)
      ( 4, 138, 0.55753)
      ( 4, 139, 0.65047)
      ( 4, 140, 0.32387)
      ( 4, 143, 0.09635)
      ( 4, 148, 0.75665)
      ( 4, 151, 0.39576)
      ( 4, 153, 0.05869)
      ( 4, 155, 0.33802)
      ( 4, 159, 0.02954)
      ( 4, 167, 0.66458)
      ( 4, 168, 0.78254)
      ( 4, 169, 0.39918)
      ( 4, 171, 0.21285)
      ( 4, 172, 0.38267)
      ( 4, 174, 0.34031)
      ( 4, 175, 0.85999)
      ( 4, 177, 0.20684)
      ( 4, 185, 0.35813)
      ( 4, 194, 0.36585)
      ( 4, 197, 0.03837)
      ( 5,  1, 0.00222)
      ( 5,  3, 0.30840)
      ( 5,  4, 0.56805)
      ( 5,  8, 0.59460)
      ( 5,  9, 0.42930)
      ( 5, 11, 0.95478)
      ( 5, 14, 0.55540)
      ( 5, 17, 0.42417)
      ( 5, 20, 0.01064)
      ( 5, 23, 0.07987)
      ( 5, 25, 0.27584)
      ( 5, 26, 0.30263)
      ( 5, 28, 0.72687)
      ( 5, 29, 0.28143)
      ( 5, 33, 0.36906)
      ( 5, 34, 0.97512)
      ( 5, 35, 0.37938)
      ( 5, 38, 0.19828)
      ( 5, 39, 0.05020)
      ( 5, 40, 0.94011)
      ( 5, 41, 0.03034)
      ( 5, 42, 0.32577)
      ( 5, 44, 0.43053)
      ( 5, 46, 0.98033)
      ( 5, 47, 0.66772)
      ( 5, 49, 0.87459)
      ( 5, 51, 0.28457)
      ( 5, 54, 0.36585)
      ( 5, 55, 0.58908)
      ( 5, 57, 0.41067)
      ( 5, 59, 0.54288)
      ( 5, 63, 0.66774)
      ( 5, 66, 0.88786)
      ( 5, 67, 0.10124)
      ( 5, 68, 0.88415)
      ( 5, 70, 0.78756)
      ( 5, 71, 0.61870)
      ( 5, 74, 0.76833)
      ( 5, 75, 0.42320)
      ( 5, 76, 0.05864)
      ( 5, 77, 0.38254)
      ( 5, 81, 0.99626)
      ( 5, 82, 0.77266)
      ( 5, 83, 0.32623)
      ( 5, 84, 0.88678)
      ( 5, 87, 0.62363)
      ( 5, 88, 0.96478)
      ( 5, 91, 0.80763)
      ( 5, 96, 0.69022)
      ( 5, 101, 0.80200)
      ( 5, 103, 0.71379)
      ( 5, 104, 0.47612)
      ( 5, 106, 0.85643)
      ( 5, 110, 0.47095)
      ( 5, 113, 0.29552)
      ( 5, 115, 0.18155)
      ( 5, 117, 0.29903)
      ( 5, 121, 0.83699)
      ( 5, 124, 0.66898)
      ( 5, 125, 0.76486)
      ( 5, 126, 0.04730)
      ( 5, 127, 0.39958)
      ( 5, 129, 0.20608)
      ( 5, 131, 0.84763)
      ( 5, 133, 0.59578)
      ( 5, 135, 0.86609)
      ( 5, 136, 0.34693)
      ( 5, 137, 0.35862)
      ( 5, 143, 0.11199)
      ( 5, 144, 0.48868)
      ( 5, 146, 0.56031)
      ( 5, 147, 0.53178)
      ( 5, 148, 0.44353)
      ( 5, 149, 0.50024)
      ( 5, 156, 0.37035)
      ( 5, 157, 0.65070)
      ( 5, 159, 0.47987)
      ( 5, 160, 0.77135)
      ( 5, 161, 0.91105)
      ( 5, 165, 0.14500)
      ( 5, 169, 0.97429)
      ( 5, 170, 0.99439)
      ( 5, 172, 0.26107)
      ( 5, 173, 0.99444)
      ( 5, 176, 0.82741)
      ( 5, 179, 0.95722)
      ( 5, 182, 0.55270)
      ( 5, 183, 0.49933)
      ( 5, 188, 0.63237)
      ( 5, 190, 0.40915)
      ( 5, 193, 0.11290)
      ( 5, 194, 0.59674)
      ( 5, 197, 0.55036)
      ( 5, 198, 0.33783)
      ( 5, 199, 0.36060)
      ( 6,  2, 0.92304)
      ( 6,  4, 0.49717)
      ( 6, 10, 0.08640)
      ( 6, 11, 0.86331)
      ( 6, 13, 0.71722)
      ( 6, 14, 0.95127)
      ( 6, 18, 0.70352)
      ( 6, 19, 0.43454)
      ( 6, 21, 0.39522)
      ( 6, 23, 0.44456)
      ( 6, 26, 0.79838)
      ( 6, 31, 0.99185)
      ( 6, 33, 0.15659)
      ( 6, 35, 0.92819)
      ( 6, 36, 0.33708)
      ( 6, 37, 0.73827)
      ( 6, 39, 0.61499)
      ( 6, 40, 0.54480)
      ( 6, 42, 0.89258)
      ( 6, 43, 0.38760)
      ( 6, 45, 0.81063)
      ( 6, 46, 0.80309)
      ( 6, 48, 0.84013)
      ( 6, 49, 0.61815)
      ( 6, 51, 0.81573)
      ( 6, 53, 0.46348)
      ( 6, 54, 0.62789)
      ( 6, 56, 0.09140)
      ( 6, 58, 0.73748)
      ( 6, 59, 0.37084)
      ( 6, 60, 0.62894)
      ( 6, 61, 0.92702)
      ( 6, 64, 0.36441)
      ( 6, 67, 0.55874)
      ( 6, 70, 0.35035)
      ( 6, 72, 0.11375)
      ( 6, 73, 0.11976)
      ( 6, 77, 0.49735)
      ( 6, 79, 0.38652)
      ( 6, 81, 0.28859)
      ( 6, 83, 0.72723)
      ( 6, 87, 0.22809)
      ( 6, 89, 0.55521)
      ( 6, 94, 0.49177)
      ( 6, 96, 0.47626)
      ( 6, 99, 0.25018)
      ( 6, 101, 0.67288)
      ( 6, 104, 0.29537)
      ( 6, 109, 0.46964)
      ( 6, 111, 0.20283)
      ( 6, 117, 0.27004)
      ( 6, 120, 0.03455)
      ( 6, 124, 0.32256)
      ( 6, 126, 0.72269)
      ( 6, 129, 0.56068)
      ( 6, 130, 0.35798)
      ( 6, 131, 0.12433)
      ( 6, 138, 0.37805)
      ( 6, 139, 0.37942)
      ( 6, 140, 0.25067)
      ( 6, 142, 0.04847)
      ( 6, 144, 0.89436)
      ( 6, 146, 0.29389)
      ( 6, 151, 0.74947)
      ( 6, 154, 0.87517)
      ( 6, 157, 0.93466)
      ( 6, 161, 0.00287)
      ( 6, 163, 0.70155)
      ( 6, 164, 0.66355)
      ( 6, 166, 0.85539)
      ( 6, 169, 0.83155)
      ( 6, 171, 0.21018)
      ( 6, 175, 0.87311)
      ( 6, 178, 0.75483)
      ( 6, 182, 0.77053)
      ( 6, 188, 0.81119)
      ( 6, 189, 0.71873)
      ( 6, 190, 0.23972)
      ( 6, 191, 0.26543)
      ( 6, 193, 0.03515)
      ( 6, 195, 0.95116)
      ( 6, 196, 0.47771)
      ( 6, 198, 0.61452)
      ( 7,  4, 0.11607)
      ( 7,  5, 0.95075)
      ( 7, 11, 0.72529)
      ( 7, 13, 0.02024)
      ( 7, 14, 0.53179)
      ( 7, 19, 0.31261)
      ( 7, 23, 0.16511)
      ( 7, 25, 0.27295)
      ( 7, 26, 0.90129)
      ( 7, 27, 0.30213)
      ( 7, 28, 0.37937)
      ( 7, 30, 0.41276)
      ( 7, 32, 0.29063)
      ( 7, 33, 0.27974)
      ( 7, 37, 0.18269)
      ( 7, 44, 0.19143)
      ( 7, 47, 0.22204)
      ( 7, 48, 0.09417)
      ( 7, 50, 0.22018)
      ( 7, 51, 0.13522)
      ( 7, 54, 0.28895)
      ( 7, 55, 0.17187)
      ( 7, 56, 0.24421)
      ( 7, 58, 0.86101)
      ( 7, 59, 0.58126)
      ( 7, 65, 0.29684)
      ( 7, 67, 0.36576)
      ( 7, 68, 0.65419)
      ( 7, 69, 0.53017)
      ( 7, 71, 0.76885)
      ( 7, 72, 0.66534)
      ( 7, 73, 0.07791)
      ( 7, 75, 0.23644)
      ( 7, 76, 0.70743)
      ( 7, 78, 0.88872)
      ( 7, 80, 0.15997)
      ( 7, 82, 0.12169)
      ( 7, 83, 0.66338)
      ( 7, 84, 0.04127)
      ( 7, 89, 0.63661)
      ( 7, 93, 0.62615)
      ( 7, 96, 0.66907)
      ( 7, 103, 0.27805)
      ( 7, 105, 0.63663)
      ( 7, 108, 0.56033)
      ( 7, 109, 0.08358)
      ( 7, 110, 0.15731)
      ( 7, 115, 0.56175)
      ( 7, 118, 0.46422)
      ( 7, 119, 0.14636)
      ( 7, 120, 0.48345)
      ( 7, 121, 0.14062)
      ( 7, 122, 0.53996)
      ( 7, 123, 0.23661)
      ( 7, 124, 0.00644)
      ( 7, 125, 0.79122)
      ( 7, 126, 0.44150)
      ( 7, 127, 0.90663)
      ( 7, 128, 0.37268)
      ( 7, 131, 0.99189)
      ( 7, 133, 0.98907)
      ( 7, 137, 0.36561)
      ( 7, 138, 0.79101)
      ( 7, 139, 0.01764)
      ( 7, 142, 0.04942)
      ( 7, 143, 0.99751)
      ( 7, 147, 0.45104)
      ( 7, 149, 0.68340)
      ( 7, 150, 0.40642)
      ( 7, 155, 0.99306)
      ( 7, 160, 0.81155)
      ( 7, 161, 0.96687)
      ( 7, 164, 0.63689)
      ( 7, 169, 0.07471)
      ( 7, 170, 0.74818)
      ( 7, 171, 0.26871)
      ( 7, 172, 0.13713)
      ( 7, 173, 0.03195)
      ( 7, 174, 0.28260)
      ( 7, 175, 0.24017)
      ( 7, 176, 0.95828)
      ( 7, 177, 0.83008)
      ( 7, 178, 0.02963)
      ( 7, 179, 0.45437)
      ( 7, 180, 0.95590)
      ( 7, 181, 0.18236)
      ( 7, 183, 0.20046)
      ( 7, 186, 0.65050)
      ( 7, 187, 0.43303)
      ( 7, 188, 0.86417)
      ( 7, 190, 0.15503)
      ( 7, 191, 0.77229)
      ( 7, 194, 0.92810)
      ( 7, 196, 0.61668)
      ( 7, 197, 0.25153)
      ( 8,  2, 0.82593)
      ( 8,  3, 0.62222)
      ( 8,  5, 0.71509)
      ( 8, 12, 0.77846)
      ( 8, 14, 0.53241)
      ( 8, 15, 0.52099)
      ( 8, 18, 0.38825)
      ( 8, 19, 0.90652)
      ( 8, 22, 0.92726)
      ( 8, 23, 0.38997)
      ( 8, 29, 0.29942)
      ( 8, 30, 0.43114)
      ( 8, 31, 0.03764)
      ( 8, 33, 0.87496)
      ( 8, 38, 0.24238)
      ( 8, 39, 0.40107)
      ( 8, 41, 0.60448)
      ( 8, 42, 0.33731)
      ( 8, 45, 0.99162)
      ( 8, 48, 0.68136)
      ( 8, 50, 0.26429)
      ( 8, 52, 0.51802)
      ( 8, 53, 0.22104)
      ( 8, 55, 0.86539)
      ( 8, 61, 0.93371)
      ( 8, 62, 0.38623)
      ( 8, 63, 0.30036)
      ( 8, 64, 0.47428)
      ( 8, 65, 0.44386)
      ( 8, 68, 0.12852)
      ( 8, 69, 0.01104)
      ( 8, 70, 0.54261)
      ( 8, 71, 0.50384)
      ( 8, 73, 0.38595)
      ( 8, 76, 0.00584)
      ( 8, 78, 0.26183)
      ( 8, 79, 0.42737)
      ( 8, 81, 0.78250)
      ( 8, 82, 0.28840)
      ( 8, 83, 0.73698)
      ( 8, 84, 0.23234)
      ( 8, 85, 0.86307)
      ( 8, 86, 0.66167)
      ( 8, 87, 0.05647)
      ( 8, 88, 0.59876)
      ( 8, 89, 0.02865)
      ( 8, 90, 0.23775)
      ( 8, 92, 0.83925)
      ( 8, 94, 0.50981)
      ( 8, 96, 0.03888)
      ( 8, 98, 0.66334)
      ( 8, 99, 0.95931)
      ( 8, 102, 0.43001)
      ( 8, 103, 0.43984)
      ( 8, 104, 0.00905)
      ( 8, 107, 0.86353)
      ( 8, 112, 0.29366)
      ( 8, 113, 0.70932)
      ( 8, 114, 0.79123)
      ( 8, 116, 0.86331)
      ( 8, 117, 0.59977)
      ( 8, 122, 0.43538)
      ( 8, 124, 0.28797)
      ( 8, 125, 0.48218)
      ( 8, 127, 0.85380)
      ( 8, 128, 0.30879)
      ( 8, 130, 0.45804)
      ( 8, 132, 0.43125)
      ( 8, 134, 0.64873)
      ( 8, 135, 0.05229)
      ( 8, 136, 0.47003)
      ( 8, 140, 0.68445)
      ( 8, 142, 0.60716)
      ( 8, 144, 0.39075)
      ( 8, 146, 0.06592)
      ( 8, 147, 0.61122)
      ( 8, 150, 0.95707)
      ( 8, 153, 0.33273)
      ( 8, 154, 0.38233)
      ( 8, 156, 0.05610)
      ( 8, 159, 0.50877)
      ( 8, 160, 0.95912)
      ( 8, 162, 0.00236)
      ( 8, 164, 0.19779)
      ( 8, 168, 0.81472)
      ( 8, 171, 0.64583)
      ( 8, 172, 0.60541)
      ( 8, 173, 0.96501)
      ( 8, 175, 0.56892)
      ( 8, 178, 0.00243)
      ( 8, 182, 0.40084)
      ( 8, 185, 0.49500)
      ( 8, 187, 0.48355)
      ( 8, 189, 0.57106)
      ( 8, 191, 0.15222)
      ( 8, 192, 0.05545)
      ( 8, 196, 0.36381)
      ( 8, 198, 0.62214)
      ( 9,  3, 0.49775)
      ( 9,  6, 0.25445)
      ( 9, 13, 0.31744)
      ( 9, 14, 0.62524)
      ( 9, 15, 0.70554)
      ( 9, 17, 0.87207)
      ( 9, 18, 0.41955)
      ( 9, 19, 0.09732)
      ( 9, 21, 0.26026)
      ( 9, 25, 0.37273)
      ( 9, 26, 0.78052)
      ( 9, 29, 0.02563)
      ( 9, 30, 0.90398)
      ( 9, 32, 0.03554)
      ( 9, 33, 0.49349)
      ( 9, 34, 0.42978)
      ( 9, 38, 0.36104)
      ( 9, 39, 0.09062)
      ( 9, 42, 0.54939)
      ( 9, 43, 0.37437)
      ( 9, 44, 0.42798)
      ( 9, 46, 0.35082)
