10 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 5
(u, v) E = { 
      ( 7,  1, 0.56441)
      ( 7,  2, 0.18458)
      ( 7,  3, 0.98755)
      ( 7,  4, 0.75192)
      ( 7,  8, 0.49626)
      ( 8,  1, 0.80392)
      ( 8,  2, 0.62606)
      ( 8,  4, 0.21195)
      ( 8,  5, 0.05673)
      ( 8,  6, 0.45130)
      ( 8,  9, 0.37110)
      ( 9,  1, 0.36962)
      ( 9,  2, 0.78463)
      ( 9,  3, 0.66096)
      ( 9,  4, 0.85638)
      ( 9,  5, 0.84927)
      ( 9,  6, 0.76237)
      ( 9,  7, 0.84640)
      ( 9,  8, 0.76971) } 
---------------- 

** G7: |V| = 10
(u, v) E = { 
      ( 0,  3, 0.93641)
      ( 0,  4, 0.62472)
      ( 0,  5, 0.36813)
      ( 0,  6, 0.64993)
      ( 0,  7, 0.09989)
      ( 0,  8, 0.64577)
      ( 1,  2, 0.46180)
      ( 1,  3, 0.41580)
      ( 1,  6, 0.84444)
      ( 1,  9, 0.90326)
      ( 2,  3, 0.28454)
      ( 2,  4, 0.20984)
      ( 2,  5, 0.47201)
      ( 2,  7, 0.84317)
      ( 2,  9, 0.55576)
      ( 3,  4, 0.75011)
      ( 3,  5, 0.55368)
      ( 3,  8, 0.28840)
      ( 3,  9, 0.33230)
      ( 4,  2, 0.32814)
      ( 4,  3, 0.28336)
      ( 4,  5, 0.60193)
      ( 4,  6, 0.03489)
      ( 4,  7, 0.66142)
      ( 4,  8, 0.55353)
      ( 5,  3, 0.81071)
      ( 5,  4, 0.85920)
      ( 5,  6, 0.94267)
      ( 5,  7, 0.32821)
      ( 5,  8, 0.28357)
      ( 6,  3, 0.92835)
      ( 6,  4, 0.91104)
      ( 6,  5, 0.52884)
      ( 6,  7, 0.99185)
      ( 6,  8, 0.53506)
      ( 6,  9, 0.42958)
      ( 7,  1, 0.25557)
      ( 7,  3, 0.87509)
      ( 7,  4, 0.75019)
      ( 7,  5, 0.53553)
      ( 7,  6, 0.61088)
      ( 7,  8, 0.99360)
      ( 8,  1, 0.45791)
      ( 8,  3, 0.39176)
      ( 8,  4, 0.38615)
      ( 8,  5, 0.00330)
      ( 8,  6, 0.25222)
      ( 8,  7, 0.70098)
      ( 8,  9, 0.81509)
      ( 9,  1, 0.66939)
      ( 9,  2, 0.77156)
      ( 9,  3, 0.09987)
      ( 9,  4, 0.23642)
      ( 9,  5, 0.73881)
      ( 9,  7, 0.02815)
      ( 9,  8, 0.42801) } 
---------------- 

** G8: |V| = 10
(u, v) E = { 
      ( 0,  1, 0.22607)
      ( 0,  3, 0.41512)
      ( 0,  4, 0.44128)
      ( 0,  5, 0.46262)
      ( 0,  6, 0.95215)
      ( 0,  8, 0.72645)
      ( 0,  9, 0.78709)
      ( 1,  5, 0.46030)
      ( 1,  7, 0.59585)
      ( 1,  8, 0.59930)
      ( 1,  9, 0.24847)
      ( 2,  3, 0.91400)
      ( 2,  5, 0.14772)
      ( 2,  6, 0.68991)
      ( 2,  7, 0.76754)
      ( 2,  9, 0.31947)
      ( 3,  4, 0.09197)
      ( 3,  6, 0.08365)
      ( 3,  7, 0.76387)
      ( 3,  9, 0.80434)
      ( 4,  1, 0.24075)
      ( 4,  3, 0.82861)
      ( 4,  5, 0.54244)
      ( 4,  6, 0.80773)
      ( 4,  7, 0.18050)
      ( 4,  8, 0.57524)
      ( 4,  9, 0.65142)
      ( 5,  1, 0.10924)
      ( 5,  2, 0.34439)
      ( 5,  4, 0.69015)
      ( 5,  6, 0.66235)
      ( 5,  7, 0.41039)
      ( 6,  1, 0.61304)
      ( 6,  3, 0.16641)
      ( 6,  4, 0.88734)
      ( 6,  5, 0.97331)
      ( 6,  7, 0.54776)
      ( 6,  8, 0.34615)
      ( 6,  9, 0.60458)
      ( 7,  1, 0.58436)
      ( 7,  2, 0.47645)
      ( 7,  3, 0.77049)
      ( 7,  4, 0.20157)
      ( 7,  6, 0.51284)
      ( 7,  9, 0.71916)
      ( 8,  1, 0.85822)
      ( 8,  3, 0.73073)
      ( 8,  4, 0.36963)
      ( 8,  5, 0.54680)
      ( 8,  6, 0.40643)
      ( 8,  7, 0.39002)
      ( 9,  1, 0.00926)
      ( 9,  2, 0.13074)
      ( 9,  4, 0.80919) } 
---------------- 

** G9: |V| = 10
(u, v) E = { 
      ( 0,  4, 0.70960)
      ( 0,  5, 0.72749)
      ( 0,  6, 0.05206)
      ( 0,  7, 0.32575)
      ( 0,  8, 0.15765)
      ( 1,  6, 0.40548)
      ( 1,  9, 0.91552)
      ( 2,  1, 0.79239)
      ( 2,  3, 0.08215)
      ( 2,  4, 0.53282)
      ( 2,  7, 0.06217)
      ( 2,  8, 0.00484)
      ( 2,  9, 0.26962)
      ( 3,  2, 0.44908)
      ( 3,  4, 0.20696)
      ( 3,  6, 0.71810)
      ( 3,  7, 0.04311)
      ( 3,  8, 0.41960)
      ( 3,  9, 0.03352)
      ( 4,  1, 0.35717)
      ( 4,  2, 0.18313)
      ( 4,  5, 0.96627)
      ( 4,  7, 0.12282)
      ( 4,  8, 0.93600)
      ( 5,  4, 0.69099)
      ( 5,  6, 0.15548)
      ( 5,  8, 0.48089)
      ( 6,  2, 0.98891)
      ( 6,  9, 0.50127)
      ( 7,  3, 0.01136)
      ( 7,  5, 0.52741)
      ( 7,  6, 0.35741)
      ( 7,  9, 0.80554)
      ( 8,  3, 0.46841)
      ( 8,  4, 0.14056)
      ( 8,  6, 0.27858)
      ( 8,  7, 0.59316)
      ( 8,  9, 0.42630)
      ( 9,  1, 0.44887)
      ( 9,  2, 0.96070)
      ( 9,  3, 0.75708)
      ( 9,  4, 0.05519)
      ( 9,  5, 0.10646)
      ( 9,  6, 0.26583)
      ( 9,  7, 0.64110) } 
---------------- 

** G10: |V| = 10
(u, v) E = { 
      ( 0,  1, 0.85058)
      ( 0,  3, 0.95819)
      ( 0,  7, 0.34803)
      ( 1,  2, 0.33826)
      ( 1,  3, 0.71177)
      ( 1,  4, 0.55209)
      ( 2,  3, 0.85744)
      ( 2,  4, 0.79246)
      ( 2,  6, 0.91747)
      ( 2,  7, 0.49254)
      ( 2,  8, 0.10176)
      ( 2,  9, 0.91594)
      ( 3,  2, 0.30029)
      ( 3,  4, 0.52212)
      ( 3,  5, 0.59355)
      ( 3,  6, 0.20255)
      ( 3,  8, 0.02190)
      ( 3,  9, 0.43642)
      ( 4,  3, 0.34498)
      ( 4,  6, 0.17412)
      ( 4,  7, 0.01052)
      ( 4,  9, 0.63069)
      ( 5,  2, 0.43382)
      ( 5,  3, 0.89637)
      ( 5,  8, 0.35259)
      ( 6,  1, 0.16157)
      ( 6,  3, 0.41769)
      ( 6,  4, 0.42906)
      ( 6,  7, 0.64465)
      ( 6,  9, 0.41599)
      ( 7,  2, 0.55818)
      ( 7,  4, 0.36100)
      ( 7,  6, 0.79847)
      ( 7,  8, 0.12842)
      ( 8,  1, 0.66204)
      ( 8,  2, 0.26611)
      ( 8,  5, 0.67824)
      ( 8,  6, 0.99243)
      ( 8,  9, 0.87777)
      ( 9,  1, 0.65070)
      ( 9,  4, 0.53703)
      ( 9,  6, 0.80471)
      ( 9,  7, 0.11021) } 
---------------- 

