1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 1000
(u, v) E = { 
      ( 2, 205, 0.54510)
      ( 2, 250, 0.10196)
      ( 2, 259, 0.32807)
      ( 2, 296, 0.63548)
      ( 2, 299, 0.70750)
      ( 2, 322, 0.54878)
      ( 2, 343, 0.65212)
      ( 2, 346, 0.58195)
      ( 2, 361, 0.52989)
      ( 2, 367, 0.30322)
      ( 2, 417, 0.11915)
      ( 2, 426, 0.70422)
      ( 2, 442, 0.66514)
      ( 2, 445, 0.14213)
      ( 2, 473, 0.52701)
      ( 2, 483, 0.50635)
      ( 2, 500, 0.57284)
      ( 2, 517, 0.22038)
      ( 2, 543, 0.05342)
      ( 2, 566, 0.07386)
      ( 2, 586, 0.98745)
      ( 2, 611, 0.16174)
      ( 2, 625, 0.23153)
      ( 2, 665, 0.79858)
      ( 2, 676, 0.76325)
      ( 2, 677, 0.63285)
      ( 2, 702, 0.07365)
      ( 2, 704, 0.27857)
      ( 2, 782, 0.33820)
      ( 2, 801, 0.15425)
      ( 2, 815, 0.50511)
      ( 2, 824, 0.12161)
      ( 2, 831, 0.78800)
      ( 2, 843, 0.86982)
      ( 2, 847, 0.67553)
      ( 2, 876, 0.15810)
      ( 2, 891, 0.33765)
      ( 2, 919, 0.40298)
      ( 2, 929, 0.45495)
      ( 2, 941, 0.25499)
      ( 2, 971, 0.99203)
      ( 3,  2, 0.04357)
      ( 3,  7, 0.14895)
      ( 3, 34, 0.64126)
      ( 3, 67, 0.34094)
      ( 3, 101, 0.85751)
      ( 3, 124, 0.58265)
      ( 3, 146, 0.67729)
      ( 3, 161, 0.47183)
      ( 3, 165, 0.76454)
      ( 3, 172, 0.01642)
      ( 3, 178, 0.16590)
      ( 3, 201, 0.42807)
      ( 3, 252, 0.43361)
      ( 3, 261, 0.87077)
      ( 3, 263, 0.76543)
      ( 3, 266, 0.67944)
      ( 3, 287, 0.99585)
      ( 3, 293, 0.77430)
      ( 3, 295, 0.43984)
      ( 3, 322, 0.41866)
      ( 3, 324, 0.39441)
      ( 3, 374, 0.04460)
      ( 3, 379, 0.57229)
      ( 3, 380, 0.93518)
      ( 3, 386, 0.44790)
      ( 3, 391, 0.75955)
      ( 3, 416, 0.00477)
      ( 3, 438, 0.71078)
      ( 3, 448, 0.11659)
      ( 3, 469, 0.57843)
      ( 3, 473, 0.62330)
      ( 3, 479, 0.30923)
      ( 3, 499, 0.75470)
      ( 3, 524, 0.49185)
      ( 3, 536, 0.38870)
      ( 3, 546, 0.56473)
      ( 3, 557, 0.69912)
      ( 3, 563, 0.15520)
      ( 3, 599, 0.70300)
      ( 3, 613, 0.25940)
      ( 3, 637, 0.79637)
      ( 3, 675, 0.79772)
      ( 3, 696, 0.68846)
      ( 3, 728, 0.55300)
      ( 3, 766, 0.52394)
      ( 3, 787, 0.81061)
      ( 3, 816, 0.78631)
      ( 3, 820, 0.43866)
      ( 3, 826, 0.83441)
      ( 3, 827, 0.93214)
      ( 3, 843, 0.36206)
      ( 3, 890, 0.60179)
      ( 3, 911, 0.30781)
      ( 3, 930, 0.97325)
      ( 3, 999, 0.27730)
      ( 4, 65, 0.75033)
      ( 4, 87, 0.26409)
      ( 4, 107, 0.00977)
      ( 4, 111, 0.78093)
      ( 4, 124, 0.37736)
      ( 4, 128, 0.91975)
      ( 4, 146, 0.26265)
      ( 4, 160, 0.78690)
      ( 4, 210, 0.80088)
      ( 4, 216, 0.75980)
      ( 4, 223, 0.98503)
      ( 4, 247, 0.40996)
      ( 4, 254, 0.42340)
      ( 4, 260, 0.41777)
      ( 4, 261, 0.55842)
      ( 4, 268, 0.71008)
      ( 4, 276, 0.81938)
      ( 4, 385, 0.35408)
      ( 4, 390, 0.11930)
      ( 4, 396, 0.12454)
      ( 4, 420, 0.26892)
      ( 4, 427, 0.06298)
      ( 4, 442, 0.58223)
      ( 4, 496, 0.75829)
      ( 4, 510, 0.69167)
      ( 4, 513, 0.58415)
      ( 4, 521, 0.58562)
      ( 4, 531, 0.92356)
      ( 4, 533, 0.18336)
      ( 4, 534, 0.74057)
      ( 4, 567, 0.53722)
      ( 4, 585, 0.03259)
      ( 4, 590, 0.41735)
      ( 4, 645, 0.97489)
      ( 4, 671, 0.90379)
      ( 4, 706, 0.33439)
      ( 4, 737, 0.26761)
      ( 4, 778, 0.65735)
      ( 4, 795, 0.41815)
      ( 4, 808, 0.71648)
      ( 4, 813, 0.72829)
      ( 4, 835, 0.33587)
      ( 4, 838, 0.25918)
      ( 4, 845, 0.56131)
      ( 4, 878, 0.31659)
      ( 4, 879, 0.08625)
      ( 4, 880, 0.02145)
      ( 4, 894, 0.89924)
      ( 4, 921, 0.63529)
      ( 4, 945, 0.74450)
      ( 4, 963, 0.95385)
      ( 4, 965, 0.91508)
      ( 5, 36, 0.11522)
      ( 5, 38, 0.96772)
      ( 5, 43, 0.50273)
      ( 5, 59, 0.21730)
      ( 5, 72, 0.25256)
      ( 5, 79, 0.40684)
      ( 5, 100, 0.08929)
      ( 5, 114, 0.50927)
      ( 5, 127, 0.92308)
      ( 5, 128, 0.89624)
      ( 5, 131, 0.66806)
      ( 5, 148, 0.35498)
      ( 5, 153, 0.45385)
      ( 5, 163, 0.36845)
      ( 5, 170, 0.93204)
      ( 5, 187, 0.15653)
      ( 5, 199, 0.25074)
      ( 5, 208, 0.57373)
      ( 5, 219, 0.87752)
      ( 5, 245, 0.14692)
      ( 5, 270, 0.67330)
      ( 5, 282, 0.71114)
      ( 5, 291, 0.90579)
      ( 5, 312, 0.88081)
      ( 5, 377, 0.29226)
      ( 5, 417, 0.85828)
      ( 5, 419, 0.34109)
      ( 5, 450, 0.78790)
      ( 5, 475, 0.61095)
      ( 5, 483, 0.75910)
      ( 5, 503, 0.60035)
      ( 5, 512, 0.08321)
      ( 5, 513, 0.82891)
      ( 5, 519, 0.09179)
      ( 5, 525, 0.84412)
      ( 5, 545, 0.52428)
      ( 5, 549, 0.63926)
      ( 5, 560, 0.07453)
      ( 5, 570, 0.64266)
      ( 5, 571, 0.28749)
      ( 5, 590, 0.24770)
      ( 5, 603, 0.73485)
      ( 5, 632, 0.22127)
      ( 5, 645, 0.22713)
      ( 5, 647, 0.80338)
      ( 5, 655, 0.75131)
      ( 5, 679, 0.59403)
      ( 5, 693, 0.15438)
      ( 5, 709, 0.06499)
      ( 5, 731, 0.41564)
      ( 5, 773, 0.27865)
      ( 5, 778, 0.06396)
      ( 5, 817, 0.92104)
      ( 5, 843, 0.36760)
      ( 5, 868, 0.26521)
      ( 5, 870, 0.62477)
      ( 5, 899, 0.55606)
      ( 5, 911, 0.37465)
      ( 5, 947, 0.59546)
      ( 5, 958, 0.01313)
      ( 5, 976, 0.29908)
      ( 5, 977, 0.86683)
      ( 5, 992, 0.64527)
      ( 6,  8, 0.62888)
      ( 6, 21, 0.75451)
      ( 6, 27, 0.24164)
      ( 6, 123, 0.16875)
      ( 6, 128, 0.15952)
      ( 6, 139, 0.93144)
      ( 6, 141, 0.99499)
      ( 6, 160, 0.25091)
      ( 6, 172, 0.04430)
      ( 6, 178, 0.27046)
      ( 6, 180, 0.60949)
      ( 6, 220, 0.51901)
      ( 6, 260, 0.97899)
      ( 6, 277, 0.50886)
      ( 6, 282, 0.96772)
      ( 6, 300, 0.65377)
      ( 6, 315, 0.82111)
      ( 6, 318, 0.66541)
      ( 6, 333, 0.47064)
      ( 6, 360, 0.79344)
      ( 6, 363, 0.71906)
      ( 6, 369, 0.61568)
      ( 6, 392, 0.42736)
      ( 6, 398, 0.10803)
      ( 6, 410, 0.19208)
      ( 6, 419, 0.48022)
      ( 6, 426, 0.33096)
      ( 6, 433, 0.37641)
      ( 6, 461, 0.73192)
      ( 6, 472, 0.37008)
      ( 6, 523, 0.01874)
      ( 6, 544, 0.42327)
      ( 6, 549, 0.14404)
      ( 6, 551, 0.83455)
      ( 6, 562, 0.65245)
      ( 6, 576, 0.04223)
      ( 6, 614, 0.05996)
      ( 6, 629, 0.88503)
      ( 6, 645, 0.62490)
      ( 6, 671, 0.84239)
      ( 6, 684, 0.88350)
      ( 6, 699, 0.47507)
      ( 6, 708, 0.41703)
      ( 6, 712, 0.67072)
      ( 6, 717, 0.22276)
      ( 6, 752, 0.83137)
      ( 6, 759, 0.91057)
      ( 6, 797, 0.90187)
      ( 6, 819, 0.64662)
      ( 6, 821, 0.28016)
      ( 6, 836, 0.25486)
      ( 6, 846, 0.70397)
      ( 6, 849, 0.42392)
      ( 6, 877, 0.88118)
      ( 6, 904, 0.39166)
      ( 6, 961, 0.11044)
      ( 6, 964, 0.27835)
      ( 6, 992, 0.23379)
      ( 7,  2, 0.45186)
      ( 7,  3, 0.93828)
      ( 7, 21, 0.23778)
      ( 7, 40, 0.09961)
      ( 7, 42, 0.39574)
      ( 7, 47, 0.78101)
      ( 7, 49, 0.35395)
      ( 7, 64, 0.46781)
      ( 7, 83, 0.99662)
      ( 7, 125, 0.63765)
      ( 7, 161, 0.67736)
      ( 7, 164, 0.89678)
      ( 7, 179, 0.33468)
      ( 7, 184, 0.26934)
      ( 7, 202, 0.47421)
      ( 7, 228, 0.36475)
      ( 7, 251, 0.34427)
      ( 7, 253, 0.94732)
      ( 7, 341, 0.84515)
      ( 7, 344, 0.35950)
      ( 7, 371, 0.56298)
      ( 7, 376, 0.05277)
      ( 7, 378, 0.68389)
      ( 7, 390, 0.22411)
      ( 7, 439, 0.31220)
      ( 7, 467, 0.31498)
      ( 7, 469, 0.70337)
      ( 7, 470, 0.17573)
      ( 7, 477, 0.94378)
      ( 7, 487, 0.92250)
      ( 7, 506, 0.88036)
      ( 7, 517, 0.74648)
      ( 7, 527, 0.24995)
      ( 7, 533, 0.72299)
      ( 7, 566, 0.81644)
      ( 7, 608, 0.01253)
      ( 7, 611, 0.67957)
      ( 7, 614, 0.85941)
      ( 7, 631, 0.80826)
      ( 7, 653, 0.40901)
      ( 7, 701, 0.65311)
      ( 7, 706, 0.77752)
      ( 7, 710, 0.67992)
      ( 7, 716, 0.29698)
      ( 7, 721, 0.10227)
      ( 7, 724, 0.39430)
      ( 7, 731, 0.42451)
      ( 7, 737, 0.85897)
      ( 7, 741, 0.03595)
      ( 7, 782, 0.48181)
      ( 7, 796, 0.15868)
      ( 7, 798, 0.66107)
      ( 7, 805, 0.83092)
      ( 7, 820, 0.38478)
      ( 7, 840, 0.77547)
      ( 7, 872, 0.28031)
      ( 7, 874, 0.89461)
      ( 7, 893, 0.00876)
      ( 7, 897, 0.75835)
      ( 7, 956, 0.73348)
      ( 8, 12, 0.45490)
      ( 8, 17, 0.21780)
      ( 8, 22, 0.12520)
      ( 8, 34, 0.48215)
      ( 8, 42, 0.14129)
      ( 8, 65, 0.78568)
      ( 8, 89, 0.68503)
      ( 8, 93, 0.08747)
      ( 8, 125, 0.84486)
      ( 8, 159, 0.65548)
      ( 8, 185, 0.73521)
      ( 8, 191, 0.80314)
      ( 8, 194, 0.53879)
      ( 8, 199, 0.52538)
      ( 8, 221, 0.74142)
      ( 8, 224, 0.45287)
      ( 8, 250, 0.78910)
      ( 8, 255, 0.56512)
      ( 8, 284, 0.98520)
      ( 8, 325, 0.48400)
      ( 8, 381, 0.71548)
      ( 8, 389, 0.69861)
      ( 8, 433, 0.65953)
      ( 8, 440, 0.70110)
      ( 8, 441, 0.23431)
      ( 8, 467, 0.14506)
      ( 8, 471, 0.30028)
      ( 8, 479, 0.88642)
      ( 8, 485, 0.74249)
      ( 8, 486, 0.69437)
      ( 8, 500, 0.60037)
      ( 8, 506, 0.09383)
      ( 8, 511, 0.02979)
      ( 8, 521, 0.73403)
      ( 8, 539, 0.92281)
      ( 8, 543, 0.54532)
      ( 8, 549, 0.07833)
      ( 8, 589, 0.27520)
      ( 8, 616, 0.26049)
      ( 8, 619, 0.42589)
      ( 8, 620, 0.62514)
      ( 8, 636, 0.61351)
      ( 8, 649, 0.37697)
      ( 8, 662, 0.11582)
      ( 8, 669, 0.97851)
      ( 8, 681, 0.04699)
      ( 8, 687, 0.93444)
      ( 8, 771, 0.06873)
      ( 8, 782, 0.69999)
      ( 8, 809, 0.09489)
      ( 8, 810, 0.65436)
      ( 8, 837, 0.87784)
      ( 8, 854, 0.24836)
      ( 8, 867, 0.50740)
      ( 8, 876, 0.36607)
      ( 8, 883, 0.17293)
      ( 8, 885, 0.02802)
      ( 8, 891, 0.48363)
      ( 8, 895, 0.27539)
      ( 8, 901, 0.83328)
      ( 8, 902, 0.61563)
      ( 8, 914, 0.42572)
      ( 8, 921, 0.55345)
      ( 8, 926, 0.81796)
      ( 8, 932, 0.03977)
      ( 8, 971, 0.13581)
      ( 8, 994, 0.57560)
      ( 9,  2, 0.22343)
      ( 9,  6, 0.08641)
      ( 9, 13, 0.24205)
      ( 9, 29, 0.51728)
      ( 9, 32, 0.45736)
      ( 9, 36, 0.83191)
      ( 9, 40, 0.54242)
      ( 9, 43, 0.75671)
      ( 9, 68, 0.32743)
      ( 9, 82, 0.20732)
      ( 9, 89, 0.36377)
      ( 9, 90, 0.16260)
      ( 9, 134, 0.35684)
      ( 9, 145, 0.77974)
      ( 9, 184, 0.16683)
      ( 9, 199, 0.18514)
      ( 9, 227, 0.63918)
      ( 9, 263, 0.13972)
      ( 9, 276, 0.40520)
      ( 9, 296, 0.45081)
      ( 9, 308, 0.18964)
      ( 9, 345, 0.42789)
      ( 9, 350, 0.27011)
      ( 9, 354, 0.30958)
      ( 9, 358, 0.72070)
      ( 9, 362, 0.34742)
      ( 9, 370, 0.34736)
      ( 9, 391, 0.86203)
      ( 9, 406, 0.32352)
      ( 9, 408, 0.83185)
      ( 9, 417, 0.99631)
      ( 9, 427, 0.66396)
      ( 9, 454, 0.66961)
      ( 9, 457, 0.05218)
      ( 9, 553, 0.63372)
      ( 9, 604, 0.72990)
      ( 9, 608, 0.45453)
      ( 9, 612, 0.81414)
      ( 9, 618, 0.40138)
      ( 9, 622, 0.13688)
      ( 9, 640, 0.07875)
      ( 9, 642, 0.17846)
      ( 9, 647, 0.95496)
      ( 9, 652, 0.06704)
      ( 9, 682, 0.70677)
      ( 9, 700, 0.84884)
      ( 9, 717, 0.70755)
      ( 9, 726, 0.80142)
      ( 9, 777, 0.04191)
      ( 9, 797, 0.55022)
      ( 9, 815, 0.30731)
      ( 9, 817, 0.96721)
      ( 9, 818, 0.36280)
      ( 9, 834, 0.80356)
      ( 9, 842, 0.88236)
      ( 9, 846, 0.38776)
      ( 9, 872, 0.59238)
      ( 9, 895, 0.13126)
      ( 9, 898, 0.90409)
      ( 9, 901, 0.31738)
      ( 9, 913, 0.62674)
      ( 9, 916, 0.95329)
      ( 9, 931, 0.71248)
      ( 9, 972, 0.16220)
      ( 9, 993, 0.66283)
      (10, 41, 0.47533)
      (10, 44, 0.65701)
      (10, 50, 0.83979)
      (10, 80, 0.21633)
      (10, 87, 0.48194)
      (10, 88, 0.25259)
      (10, 117, 0.34826)
      (10, 125, 0.22032)
      (10, 144, 0.70163)
      (10, 150, 0.20041)
      (10, 186, 0.12271)
      (10, 188, 0.46692)
      (10, 247, 0.45955)
      (10, 258, 0.24983)
      (10, 262, 0.71025)
      (10, 272, 0.43482)
      (10, 294, 0.67960)
      (10, 299, 0.42204)
      (10, 360, 0.34568)
      (10, 415, 0.97714)
      (10, 423, 0.02782)
      (10, 433, 0.31085)
      (10, 472, 0.35913)
      (10, 474, 0.34021)
      (10, 491, 0.91342)
      (10, 505, 0.01736)
      (10, 525, 0.05587)
      (10, 554, 0.44413)
      (10, 564, 0.49364)
      (10, 589, 0.27311)
      (10, 593, 0.40807)
      (10, 606, 0.37482)
      (10, 615, 0.07868)
      (10, 617, 0.00548)
      (10, 625, 0.80122)
      (10, 627, 0.88011)
      (10, 635, 0.00461)
      (10, 660, 0.23379)
      (10, 701, 0.60570)
      (10, 704, 0.10544)
      (10, 715, 0.11382)
      (10, 728, 0.63966)
      (10, 753, 0.81015)
      (10, 774, 0.75625)
      (10, 785, 0.48362)
      (10, 795, 0.92507)
      (10, 832, 0.60302)
      (10, 834, 0.29111)
      (10, 839, 0.20830)
      (10, 891, 0.22871)
      (10, 893, 0.89771)
      (10, 907, 0.02118)
      (10, 916, 0.23574)
      (10, 928, 0.70631)
      (10, 931, 0.80631)
      (10, 961, 0.62755)
      (10, 989, 0.71351)
      (11, 19, 0.79356)
      (11, 50, 0.42857)
      (11, 70, 0.16948)
      (11, 78, 0.07716)
      (11, 154, 0.44220)
      (11, 162, 0.70009)
      (11, 175, 0.23821)
      (11, 192, 0.89276)
      (11, 193, 0.00109)
      (11, 213, 0.72814)
      (11, 222, 0.49009)
      (11, 236, 0.85261)
      (11, 243, 0.99155)
      (11, 264, 0.42261)
      (11, 290, 0.50677)
      (11, 303, 0.48755)
      (11, 309, 0.38106)
      (11, 322, 0.42055)
      (11, 342, 0.55557)
      (11, 350, 0.82222)
      (11, 353, 0.06025)
      (11, 370, 0.59864)
      (11, 377, 0.23997)
      (11, 389, 0.78544)
      (11, 395, 0.53115)
      (11, 405, 0.61167)
      (11, 434, 0.60519)
      (11, 449, 0.41704)
      (11, 450, 0.66360)
      (11, 455, 0.10982)
      (11, 471, 0.44799)
      (11, 494, 0.55950)
      (11, 536, 0.02144)
      (11, 539, 0.88606)
      (11, 545, 0.53075)
      (11, 547, 0.04825)
      (11, 585, 0.52604)
      (11, 588, 0.07550)
      (11, 589, 0.78083)
      (11, 605, 0.89735)
      (11, 621, 0.99347)
      (11, 625, 0.89109)
      (11, 628, 0.85632)
      (11, 631, 0.95422)
      (11, 688, 0.19824)
      (11, 750, 0.41137)
      (11, 767, 0.64588)
      (11, 772, 0.45506)
      (11, 781, 0.22028)
      (11, 789, 0.62143)
      (11, 790, 0.27350)
      (11, 794, 0.88921)
      (11, 830, 0.22668)
      (11, 851, 0.29071)
      (11, 910, 0.10401)
      (11, 919, 0.96930)
      (11, 921, 0.68748)
      (11, 930, 0.31831)
      (11, 953, 0.25466)
      (11, 955, 0.07114)
      (11, 957, 0.47315)
      (11, 959, 0.18815)
      (11, 963, 0.93014)
      (11, 979, 0.40411)
      (11, 999, 0.11481)
      (12,  1, 0.16611)
      (12,  5, 0.01332)
      (12, 25, 0.88210)
      (12, 54, 0.67299)
      (12, 72, 0.77486)
      (12, 91, 0.45279)
      (12, 138, 0.56845)
      (12, 169, 0.20478)
      (12, 180, 0.02430)
      (12, 184, 0.44885)
      (12, 185, 0.09193)
      (12, 191, 0.70167)
      (12, 211, 0.58612)
      (12, 216, 0.53662)
      (12, 250, 0.87347)
      (12, 252, 0.65654)
      (12, 258, 0.87055)
      (12, 297, 0.37693)
      (12, 298, 0.18221)
      (12, 323, 0.46380)
      (12, 330, 0.15698)
      (12, 331, 0.24572)
      (12, 334, 0.16881)
      (12, 352, 0.63315)
      (12, 377, 0.23465)
      (12, 380, 0.64012)
      (12, 396, 0.52973)
      (12, 411, 0.71120)
      (12, 421, 0.16225)
      (12, 467, 0.59104)
      (12, 506, 0.69320)
      (12, 508, 0.54859)
      (12, 518, 0.82577)
      (12, 543, 0.71594)
      (12, 552, 0.62517)
      (12, 557, 0.12190)
      (12, 566, 0.18209)
      (12, 630, 0.60683)
      (12, 660, 0.67105)
      (12, 665, 0.69619)
      (12, 672, 0.56320)
      (12, 695, 0.07988)
      (12, 702, 0.93354)
      (12, 710, 0.90950)
      (12, 732, 0.79422)
      (12, 734, 0.68515)
      (12, 748, 0.79598)
      (12, 790, 0.61488)
      (12, 792, 0.21313)
      (12, 811, 0.65004)
      (12, 824, 0.63614)
      (12, 825, 0.73521)
      (12, 834, 0.73177)
      (12, 852, 0.46129)
      (12, 869, 0.70109)
      (12, 872, 0.24820)
      (12, 896, 0.67117)
      (12, 903, 0.18929)
      (12, 944, 0.93361)
      (12, 960, 0.55974)
      (13, 43, 0.08950)
      (13, 74, 0.17724)
      (13, 85, 0.21969)
      (13, 146, 0.54261)
      (13, 169, 0.77306)
      (13, 189, 0.77561)
      (13, 190, 0.50088)
      (13, 196, 0.05041)
      (13, 199, 0.69240)
      (13, 239, 0.75443)
      (13, 251, 0.07072)
      (13, 265, 0.16195)
      (13, 280, 0.08884)
      (13, 302, 0.59453)
      (13, 313, 0.02777)
      (13, 361, 0.80391)
      (13, 370, 0.81258)
      (13, 375, 0.83405)
      (13, 377, 0.64601)
      (13, 393, 0.74926)
      (13, 409, 0.19696)
      (13, 497, 0.96924)
      (13, 507, 0.45195)
      (13, 534, 0.83806)
      (13, 552, 0.80302)
      (13, 558, 0.55676)
      (13, 580, 0.73360)
      (13, 652, 0.70892)
      (13, 660, 0.57221)
      (13, 665, 0.05346)
      (13, 700, 0.55762)
      (13, 702, 0.33546)
      (13, 744, 0.66025)
      (13, 752, 0.19964)
      (13, 765, 0.46127)
      (13, 766, 0.57412)
      (13, 794, 0.21919)
      (13, 796, 0.51763)
      (13, 803, 0.63788)
      (13, 813, 0.63574)
      (13, 815, 0.00731)
      (13, 827, 0.87862)
      (13, 870, 0.23714)
      (13, 881, 0.01351)
      (13, 902, 0.27606)
      (13, 904, 0.96568)
      (13, 915, 0.56962)
      (13, 931, 0.96882)
      (13, 945, 0.42658)
      (13, 950, 0.87551)
      (13, 962, 0.65833)
      (14,  8, 0.51290)
      (14, 25, 0.04444)
      (14, 30, 0.39929)
      (14, 61, 0.55935)
      (14, 89, 0.10313)
      (14, 122, 0.74366)
      (14, 131, 0.35338)
      (14, 134, 0.87995)
      (14, 149, 0.69918)
      (14, 180, 0.54042)
      (14, 291, 0.77269)
      (14, 299, 0.49359)
      (14, 317, 0.00828)
      (14, 320, 0.06097)
      (14, 324, 0.00917)
      (14, 326, 0.27267)
      (14, 351, 0.42086)
      (14, 357, 0.50796)
      (14, 370, 0.14067)
      (14, 371, 0.32354)
      (14, 388, 0.01607)
      (14, 430, 0.80112)
      (14, 435, 0.54080)
      (14, 442, 0.58534)
      (14, 453, 0.26136)
      (14, 458, 0.60810)
      (14, 461, 0.33106)
      (14, 506, 0.09584)
      (14, 545, 0.75193)
      (14, 574, 0.58000)
      (14, 583, 0.50456)
      (14, 592, 0.90422)
      (14, 609, 0.51616)
      (14, 630, 0.26238)
      (14, 648, 0.46633)
      (14, 655, 0.27290)
      (14, 661, 0.05863)
      (14, 668, 0.48505)
      (14, 678, 0.45292)
      (14, 689, 0.17544)
      (14, 692, 0.77059)
      (14, 704, 0.69406)
      (14, 713, 0.68802)
      (14, 752, 0.54991)
      (14, 779, 0.53489)
      (14, 788, 0.59348)
      (14, 831, 0.94705)
      (14, 898, 0.11391)
      (14, 926, 0.81055)
      (14, 954, 0.34151)
      (14, 960, 0.90136)
      (14, 983, 0.45557)
      (14, 996, 0.60359)
      (15, 12, 0.18243)
      (15, 23, 0.11187)
      (15, 33, 0.65038)
      (15, 64, 0.80889)
      (15, 80, 0.76254)
      (15, 124, 0.46712)
      (15, 130, 0.06492)
      (15, 137, 0.73860)
      (15, 152, 0.39750)
      (15, 164, 0.66413)
      (15, 174, 0.02182)
      (15, 176, 0.25783)
      (15, 224, 0.45181)
      (15, 233, 0.18894)
      (15, 238, 0.74544)
      (15, 285, 0.25844)
      (15, 287, 0.79253)
      (15, 289, 0.72251)
      (15, 290, 0.94111)
      (15, 291, 0.61739)
      (15, 299, 0.02625)
      (15, 322, 0.32177)
      (15, 356, 0.51257)
      (15, 367, 0.68491)
      (15, 384, 0.58850)
      (15, 388, 0.72275)
      (15, 402, 0.92678)
      (15, 427, 0.13659)
      (15, 429, 0.33189)
      (15, 482, 0.83989)
      (15, 512, 0.39839)
      (15, 516, 0.14445)
      (15, 528, 0.57280)
      (15, 531, 0.66320)
      (15, 546, 0.37156)
      (15, 568, 0.84727)
      (15, 597, 0.45341)
      (15, 606, 0.69119)
      (15, 607, 0.07551)
      (15, 625, 0.62697)
      (15, 637, 0.39383)
      (15, 652, 0.77812)
      (15, 656, 0.19742)
      (15, 666, 0.23163)
      (15, 700, 0.30774)
      (15, 718, 0.18431)
      (15, 769, 0.70824)
      (15, 771, 0.15600)
      (15, 782, 0.91966)
      (15, 787, 0.26251)
      (15, 802, 0.40383)
      (15, 836, 0.13945)
      (15, 872, 0.94075)
      (15, 888, 0.00769)
      (15, 893, 0.94710)
      (15, 903, 0.96030)
      (15, 917, 0.27810)
      (15, 919, 0.89283)
