1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 10000
(u, v) E = { 
      (231, 9989, 0.80273)
      (232, 4273, 0.79861)
      (233, 2267, 0.41792)
      (234, 7043, 0.67364)
      (235, 7189, 0.52634)
      (236, 9634, 0.15847)
      (237, 559, 0.26465)
      (238, 9600, 0.75507)
      (239, 9302, 0.56924)
      (240, 7831, 0.08234)
      (241, 5403, 0.71672)
      (242, 9135, 0.30606)
      (243, 3810, 0.27943)
      (244, 1921, 0.75113)
      (245, 5274, 0.39335)
      (246, 1180, 0.13896)
      (246, 6843, 0.87665)
      (247, 2874, 0.80687)
      (248, 3107, 0.71104)
      (249, 1352, 0.96382)
      (250, 228, 0.07902)
      (251, 4742, 0.04911)
      (252, 3567, 0.57426)
      (253, 714, 0.78256)
      (254, 5958, 0.11901)
      (255, 123, 0.15943)
      (256, 4756, 0.43723)
      (257, 3171, 0.21463)
      (258, 502, 0.70779)
      (258, 3700, 0.71295)
      (259, 4624, 0.33523)
      (260, 8833, 0.24649)
      (261, 1254, 0.17459)
      (261, 2421, 0.14782)
      (262, 2907, 0.94529)
      (263, 4720, 0.59881)
      (264, 5178, 0.83194)
      (265, 2254, 0.05397)
      (266, 7376, 0.77858)
      (267, 1400, 0.97271)
      (268, 256, 0.37437)
      (269, 6333, 0.91344)
      (270, 727, 0.01558)
      (270, 2073, 0.95223)
      (271, 6285, 0.96208)
      (272, 276, 0.23225)
      (272, 5524, 0.84118)
      (273, 9141, 0.85005)
      (273, 9160, 0.98416)
      (274, 5489, 0.28457)
      (274, 7514, 0.24656)
      (275, 1422, 0.20341)
      (276, 4116, 0.71900)
      (277, 4017, 0.50640)
      (278, 2256, 0.14877)
      (279, 3131, 0.78589)
      (280, 1801, 0.92381)
      (281, 6725, 0.43625)
      (282, 2286, 0.42718)
      (283, 242, 0.73758)
      (284, 6241, 0.06396)
      (285, 6316, 0.88699)
      (286, 6352, 0.24861)
      (287, 7418, 0.98073)
      (288, 6859, 0.60070)
      (289, 2727, 0.09592)
      (290, 8461, 0.21568)
      (291, 3812, 0.59759)
      (292, 5222, 0.50400)
      (293, 3213, 0.27756)
      (294, 2730, 0.80936)
      (294, 3072, 0.36277)
      (295, 2884, 0.66649)
      (296, 361, 0.70068)
      (297, 1895, 0.05645)
      (298, 1948, 0.77288)
      (299, 5500, 0.11169)
      (300, 381, 0.46206)
      (301, 5301, 0.44207)
      (302, 4341, 0.32757)
      (303, 2451, 0.53722)
      (303, 5267, 0.71631)
      (303, 6466, 0.74132)
      (304, 4537, 0.91101)
      (304, 6517, 0.05760)
      (305, 5022, 0.13227)
      (306, 2165, 0.93986)
      (307, 6227, 0.07697)
      (308, 1326, 0.61415)
      (308, 4991, 0.22751)
      (309, 7525, 0.79719)
      (310, 7373, 0.35870)
      (311, 8696, 0.58349)
      (312, 9611, 0.60895)
      (313, 3932, 0.35127)
      (314, 4545, 0.61686)
      (315, 8137, 0.06765)
      (316, 875, 0.76726)
      (317, 6148, 0.83382)
      (318, 9686, 0.35269)
      (319, 2319, 0.35789)
      (320, 9969, 0.91335)
      (321, 9854, 0.32593)
      (322, 4684, 0.49076)
      (323, 1244, 0.61243)
      (324, 2171, 0.57579)
      (325, 6650, 0.19937)
      (326, 2549, 0.20410)
      (327, 7724, 0.39994)
      (328, 8272, 0.73210)
      (329, 5973, 0.64391)
      (329, 7320, 0.44350)
      (330, 6231, 0.91374)
      (331, 6807, 0.77199)
      (332, 3098, 0.09718)
      (333, 7329, 0.57359)
      (334, 3564, 0.52343)
      (335, 7749, 0.18363)
      (336, 7383, 0.91686)
      (337, 5772, 0.56053)
      (338, 7522, 0.96270)
      (339, 1916, 0.15520)
      (340, 5883, 0.90696)
      (341, 2160, 0.23965)
      (341, 4794, 0.37752)
      (341, 5773, 0.84462)
      (342, 8353, 0.84249)
      (343, 960, 0.03433)
      (343, 3536, 0.82388)
      (344, 4424, 0.44968)
      (345, 7138, 0.44306)
      (346, 2105, 0.66543)
      (347, 1743, 0.25451)
      (347, 7961, 0.74159)
      (348, 4870, 0.95112)
      (349, 817, 0.79218)
      (350, 727, 0.37287)
      (351, 5882, 0.60717)
      (352, 882, 0.07685)
      (353, 5671, 0.79081)
      (354, 2765, 0.72792)
      (354, 3681, 0.47357)
      (355, 2060, 0.97664)
      (356, 4787, 0.86431)
      (356, 5976, 0.12455)
      (357, 4490, 0.11477)
      (358, 749, 0.82906)
      (359, 5886, 0.07332)
      (360, 2566, 0.84092)
      (361, 286, 0.32046)
      (362, 4758, 0.60715)
      (363, 2321, 0.50341)
      (364, 5184, 0.83722)
      (365, 353, 0.07301)
      (366, 461, 0.70254)
      (367, 4388, 0.06419)
      (368, 7851, 0.83816)
      (369, 4711, 0.90658)
      (370, 1392, 0.35656)
      (371, 3303, 0.74727)
      (372, 7191, 0.97428)
      (373, 1929, 0.35965)
      (374, 578, 0.72506)
      (375, 643, 0.01526)
      (376, 6008, 0.34897)
      (377, 6034, 0.14185)
      (378, 3832, 0.70725)
      (379, 42, 0.00705)
      (380, 6875, 0.91423)
      (381, 4342, 0.43081)
      (382, 9561, 0.49856)
      (383, 8544, 0.82010)
      (384, 3611, 0.71104)
      (385, 6126, 0.69925)
      (385, 7237, 0.63121)
      (386, 4813, 0.97703)
      (387, 4817, 0.59320)
      (388, 5699, 0.37098)
      (389, 5625, 0.07226)
      (390, 9393, 0.45806)
      (391, 1499, 0.16636)
      (392, 3631, 0.68600)
      (393, 656, 0.76085)
      (394, 3866, 0.72465)
      (395, 9538, 0.71420)
      (396, 5449, 0.38883)
      (397, 6452, 0.23922)
      (398, 4443, 0.62159)
      (398, 8134, 0.95586)
      (399, 481, 0.85597)
      (400, 7061, 0.39476)
      (401, 4319, 0.67801)
      (402, 9458, 0.34091)
      (402, 9709, 0.68021)
      (403, 9465, 0.39845)
      (403, 9528, 0.92010)
      (404, 2009, 0.36748)
      (405, 6123, 0.93750)
      (405, 8241, 0.10638)
      (406, 1975, 0.71090)
      (407, 5070, 0.37773)
      (408, 1179, 0.94665)
      (408, 2160, 0.34629)
      (409, 7636, 0.80397)
      (410, 5975, 0.18316)
      (411, 8135, 0.64323)
      (412, 7437, 0.88910)
      (413, 9252, 0.58668)
      (414, 7891, 0.40810)
      (414, 9317, 0.26241)
      (415, 2537, 0.27654)
      (415, 5758, 0.24310)
      (416, 4127, 0.49895)
      (417, 4868, 0.40982)
      (418, 2839, 0.26642)
      (419, 6678, 0.89513)
      (420, 6366, 0.43108)
      (421, 5089, 0.41962)
      (422, 3005, 0.91653)
      (423, 4690, 0.45012)
      (424, 802, 0.32300)
      (424, 7234, 0.27132)
      (425, 1431, 0.91547)
      (426, 4285, 0.51906)
      (427, 3671, 0.78745)
      (427, 9503, 0.28311)
      (428, 550, 0.22767)
      (428, 6205, 0.18180)
      (429, 9168, 0.32495)
      (430, 3857, 0.76961)
      (431, 321, 0.03601)
      (432, 9645, 0.49297)
      (433, 1762, 0.49796)
      (434, 5088, 0.02146)
      (435, 3494, 0.53494)
      (435, 6370, 0.98985)
      (436, 8542, 0.25458)
      (437, 3748, 0.49333)
      (438, 5229, 0.88873)
      (439, 5604, 0.93495)
      (439, 9034, 0.72328)
      (440, 9865, 0.73474)
      (441, 6492, 0.45800)
      (442, 311, 0.08772)
      (443, 8374, 0.28823)
      (444, 8700, 0.93531)
      (445, 6221, 0.29970)
      (446, 9388, 0.24845)
      (447, 4020, 0.38483)
      (448, 67, 0.72070)
      (448, 1977, 0.05478)
      (449, 1227, 0.31992)
      (450, 1844, 0.47833)
      (451, 3543, 0.27338)
      (452, 7672, 0.86272)
      (453, 2051, 0.02783)
      (453, 2448, 0.02485)
      (454, 8392, 0.84627)
      (455, 7311, 0.66033)
      (456, 7358, 0.92206)
      (457, 9907, 0.59632)
      (458, 1978, 0.84951)
      (458, 2265, 0.53926)
      (459, 9586, 0.76065)
      (460, 392, 0.63405)
      (460, 4177, 0.18874)
      (461, 8294, 0.44699)
      (462, 2355, 0.13418)
      (463, 6476, 0.18684)
      (464, 3054, 0.70496)
      (465, 4067, 0.18438)
      (466,  1, 0.79670)
      (467, 4463, 0.37873)
      (468, 5677, 0.80234)
      (469, 2098, 0.02320)
      (470, 8094, 0.11194)
      (471, 6971, 0.95100)
      (472, 5933, 0.94798)
      (472, 7799, 0.75595)
      (473, 28, 0.24436)
      (474, 6807, 0.88990)
      (474, 9943, 0.04697)
      (475, 2771, 0.02862)
      (476, 853, 0.39053)
      (477, 3214, 0.30854)
      (478, 6048, 0.97218)
      (479, 4281, 0.78875)
      (480, 5716, 0.34899)
      (481, 8398, 0.87895)
      (482, 7009, 0.00556)
      (483, 7321, 0.40447)
      (484, 4477, 0.23218)
      (484, 8268, 0.17444)
      (485, 5546, 0.19918)
      (485, 9958, 0.00406)
      (486, 809, 0.35629)
      (487, 5701, 0.82237)
      (488, 8093, 0.81126)
      (489, 4671, 0.67258)
      (490, 3127, 0.78303)
      (491, 1641, 0.14002)
      (491, 2996, 0.27374)
      (491, 4380, 0.97217)
      (491, 4601, 0.95294)
      (492, 1471, 0.10744)
      (493, 1670, 0.73754)
      (494, 9472, 0.95683)
      (495, 8915, 0.11129)
      (496, 5556, 0.99262)
      (497, 9410, 0.82037)
      (498, 999, 0.71887)
      (499, 2447, 0.00025)
      (500, 3919, 0.08485)
      (500, 4664, 0.69727)
      (501, 2346, 0.56210)
      (501, 5634, 0.12859)
      (502, 7652, 0.32861)
      (503, 1172, 0.20883)
      (504, 2223, 0.68345)
      (505, 6212, 0.80435)
      (506, 6365, 0.48812)
      (506, 9995, 0.15036)
      (507, 4819, 0.35675)
      (508, 2986, 0.98764)
      (509, 8495, 0.34636)
      (510, 4650, 0.74230)
      (511, 4620, 0.43259)
      (512, 5584, 0.57991)
      (513, 7579, 0.22988)
      (514, 5258, 0.38255)
      (515, 6810, 0.62434)
      (516, 8127, 0.18738)
      (517, 1969, 0.91588)
      (518, 5059, 0.77460)
      (519, 8899, 0.08842)
      (520, 6793, 0.34957)
      (521, 3384, 0.37079)
      (521, 8752, 0.35166)
      (522, 1458, 0.55376)
      (522, 1590, 0.52874)
      (522, 2940, 0.64367)
      (523, 2054, 0.43995)
      (524, 9839, 0.93200)
      (525, 8478, 0.63100)
      (526, 376, 0.63129)
      (526, 1911, 0.55810)
      (526, 4172, 0.32413)
      (526, 5741, 0.32607)
      (527, 4320, 0.24456)
      (528, 410, 0.35849)
      (529, 1673, 0.48982)
      (529, 5215, 0.73881)
      (530, 665, 0.61553)
      (531, 5401, 0.59538)
      (532, 4791, 0.35982)
      (532, 6157, 0.02517)
      (533, 9126, 0.77522)
      (534, 762, 0.97933)
      (534, 4337, 0.86148)
      (535, 4527, 0.61996)
      (536, 1857, 0.75036)
      (537, 9357, 0.56492)
      (538, 2157, 0.20231)
      (538, 2560, 0.99759)
      (539, 3936, 0.45623)
      (540, 2398, 0.54899)
      (541, 5334, 0.80347)
      (542, 5004, 0.35443)
      (543, 7847, 0.25048)
      (544, 7165, 0.77189)
      (545, 3459, 0.77288)
      (546, 3353, 0.48696)
      (546, 7385, 0.57749)
      (547, 2554, 0.46482)
      (547, 8072, 0.48663)
      (548, 5364, 0.50487)
      (549, 2600, 0.33716)
      (550, 4577, 0.62406)
      (551, 200, 0.56177)
      (551, 9255, 0.14927)
      (552, 2607, 0.90991)
      (553, 7135, 0.02242)
      (554, 803, 0.98023)
      (555, 9703, 0.37321)
      (556, 6824, 0.52463)
      (557, 9142, 0.69338)
      (558, 495, 0.33012)
      (559, 7201, 0.79625)
      (560, 4911, 0.03084)
      (561, 4129, 0.41510)
      (562, 6510, 0.63341)
      (563, 392, 0.01028)
      (564, 1408, 0.00012)
      (565, 4779, 0.55004)
      (566, 8499, 0.27958)
      (567, 2649, 0.02102)
      (568, 1898, 0.58054)
      (569, 4052, 0.91742)
      (570, 8927, 0.93225)
      (571, 1226, 0.61208)
      (572, 938, 0.11302)
      (573, 1402, 0.82739)
      (574, 8252, 0.81921)
      (575, 1705, 0.05563)
      (575, 7646, 0.73541)
      (576, 1662, 0.94379)
      (576, 3200, 0.19767)
      (577, 691, 0.03145)
      (578, 8166, 0.30780)
      (579, 2380, 0.87550)
      (580, 4604, 0.73323)
      (581, 2441, 0.92373)
      (582, 4473, 0.03087)
      (582, 6870, 0.91781)
      (583, 1377, 0.06159)
      (583, 5783, 0.46527)
      (583, 7142, 0.13315)
      (584, 4402, 0.32209)
      (584, 7964, 0.92000)
      (585, 6119, 0.87060)
      (586, 8792, 0.42894)
      (587, 4918, 0.88412)
      (588, 6937, 0.33105)
      (588, 7176, 0.95132)
      (588, 8904, 0.63684)
      (589, 7704, 0.65295)
      (590, 7007, 0.56433)
      (591, 8238, 0.97536)
      (592, 7725, 0.99395)
      (593, 8697, 0.21149)
      (594, 2032, 0.73599)
      (595, 6077, 0.07350)
      (596, 3217, 0.81714)
      (597, 8126, 0.07419)
      (598, 7365, 0.66890)
      (599, 1142, 0.82113)
      (600, 1977, 0.74864)
      (601, 5233, 0.54077)
      (602, 4221, 0.68268)
      (602, 8798, 0.21784)
      (603, 3701, 0.22773)
      (603, 6346, 0.93613)
      (604, 8148, 0.42823)
      (605, 6670, 0.61085)
      (606, 777, 0.79037)
      (607, 6351, 0.64327)
      (608, 3322, 0.11654)
      (609, 1399, 0.95936)
      (610, 9248, 0.20871)
      (611, 4170, 0.53554)
      (611, 5378, 0.89645)
      (611, 7593, 0.49711)
      (612, 9178, 0.19615)
      (613, 31, 0.17628)
      (614, 4592, 0.58114)
      (615, 6003, 0.67372)
      (616, 1036, 0.66506)
      (617, 345, 0.37508)
      (618, 6355, 0.13443)
      (619, 5227, 0.83632)
      (620, 5341, 0.91650)
      (621, 5319, 0.49559)
      (622, 6778, 0.82432)
      (623, 1197, 0.75197)
      (624, 2488, 0.69506)
      (624, 5134, 0.62952)
      (625, 774, 0.01721)
      (625, 7119, 0.95387)
      (626, 1810, 0.84327)
      (627, 7752, 0.59408)
      (628, 7607, 0.36641)
      (629, 4783, 0.68725)
      (630, 8038, 0.39199)
      (630, 8579, 0.81704)
      (631, 2202, 0.35202)
      (632, 7419, 0.92906)
      (633, 8955, 0.71305)
      (634, 909, 0.07060)
      (635, 4332, 0.26941)
      (636, 8798, 0.60373)
      (637, 8610, 0.23055)
      (638, 9997, 0.64359)
      (639, 2122, 0.64089)
      (639, 9426, 0.86640)
      (640, 736, 0.54354)
      (641, 2807, 0.57407)
      (642, 118, 0.18171)
      (643, 8041, 0.81000)
      (644, 460, 0.03996)
      (645, 5517, 0.13671)
      (645, 7441, 0.44918)
      (646, 1716, 0.03185)
      (647, 5200, 0.07717)
      (648, 3626, 0.30693)
      (649, 5528, 0.55582)
      (650, 1581, 0.01593)
      (651, 5954, 0.36089)
      (652, 3586, 0.15155)
      (652, 9637, 0.78166)
      (653, 521, 0.49354)
      (654, 4999, 0.13495)
      (655, 7613, 0.00709)
      (656, 4356, 0.72407)
      (657, 1462, 0.81574)
      (658, 6111, 0.51465)
      (659, 4055, 0.57132)
      (660, 7126, 0.18577)
      (661, 886, 0.38673)
      (662, 306, 0.89521)
      (662, 4377, 0.77010)
      (663, 8344, 0.38767)
      (664, 204, 0.85681)
      (665, 1703, 0.32079)
      (666, 5605, 0.53060)
      (667, 7334, 0.09247)
      (668, 5909, 0.99647)
      (669, 5842, 0.68045)
      (670, 6707, 0.53729)
      (671, 2791, 0.38617)
      (672, 6644, 0.75785)
      (673, 7253, 0.61733)
      (674, 1753, 0.26762)
      (675, 3889, 0.75706)
      (675, 5385, 0.54953)
      (676, 1308, 0.43256)
      (677, 6805, 0.59393)
      (678, 8329, 0.49574)
      (679, 2001, 0.23418)
      (680, 3493, 0.13602)
      (681, 9719, 0.13214)
      (682, 7751, 0.71835)
      (683, 3077, 0.82404)
      (684, 4260, 0.03921)
      (684, 9916, 0.20300)
      (685, 604, 0.49010)
      (685, 1288, 0.65021)
      (685, 5260, 0.54759)
      (686, 1957, 0.63040)
      (687, 9520, 0.17586)
      (687, 9789, 0.00720)
      (688, 5430, 0.76481)
      (689, 420, 0.33928)
      (689, 442, 0.60416)
      (690, 9935, 0.87286)
      (691, 3636, 0.79549)
      (692, 5674, 0.69698)
      (693, 443, 0.66538)
      (694, 5713, 0.17829)
      (695, 2606, 0.23127)
      (696, 6218, 0.08266)
      (697, 3905, 0.43996)
      (698, 1814, 0.93077)
      (699, 1269, 0.21226)
      (699, 8339, 0.63515)
      (700, 5327, 0.16404)
      (700, 7740, 0.85828)
      (701, 7581, 0.23825)
      (702, 86, 0.81313)
      (702, 2987, 0.23080)
      (703, 7375, 0.01261)
      (704, 1743, 0.70742)
      (705, 5858, 0.12726)
      (706, 7344, 0.05432)
      (707, 3454, 0.94437)
      (708, 8185, 0.05706)
      (709, 3591, 0.13886)
      (710, 3385, 0.41207)
      (711, 4534, 0.06203)
      (711, 4786, 0.71739)
      (712, 4617, 0.99426)
      (713, 3286, 0.46614)
      (714, 3379, 0.19196)
      (715, 6589, 0.74102)
      (716, 7917, 0.91190)
      (717, 583, 0.42670)
      (718, 2407, 0.33524)
      (718, 5403, 0.95910)
      (719, 1590, 0.91845)
      (719, 1683, 0.30533)
      (720, 3370, 0.37844)
      (721, 728, 0.51110)
      (721, 7147, 0.80047)
      (722, 52, 0.15621)
      (723, 3515, 0.31127)
      (723, 7601, 0.98217)
      (724, 843, 0.26007)
      (724, 8496, 0.10908)
      (725, 2166, 0.83670)
      (726, 9198, 0.37616)
      (727, 2630, 0.54296)
      (728, 2246, 0.59899)
      (729, 8040, 0.62836)
      (730, 7325, 0.89132)
      (731, 127, 0.50968)
      (732, 2525, 0.72573)
      (733, 602, 0.73036)
      (734, 2426, 0.71976)
      (734, 7239, 0.50595)
      (735, 2865, 0.86180)
      (736, 2330, 0.85346)
      (737, 7963, 0.56915)
      (738, 6641, 0.89167)
      (739, 6433, 0.29046)
      (740, 6799, 0.35328)
      (740, 7774, 0.30860)
      (741, 3361, 0.99726)
      (741, 9428, 0.35890)
      (742, 7379, 0.61132)
      (743, 3113, 0.65466)
      (743, 7987, 0.94764)
      (744, 1275, 0.56511)
      (745, 9454, 0.47887)
      (746, 5522, 0.89603)
      (747, 3097, 0.85515)
      (748, 6951, 0.13135)
      (749, 1091, 0.33641)
      (749, 8471, 0.41112)
      (750, 5182, 0.71841)
      (750, 5235, 0.49597)
      (751, 3014, 0.42745)
      (752, 3186, 0.29403)
      (753, 3314, 0.45422)
      (754, 9849, 0.27842)
      (755, 9151, 0.78179)
      (756, 253, 0.66656)
      (757, 297, 0.71719)
      (757, 3122, 0.17044)
      (758, 9831, 0.76011)
      (759, 3684, 0.66504)
      (760, 2304, 0.27274)
      (761, 9500, 0.05004)
      (762, 5696, 0.13216)
      (763, 5113, 0.90602)
      (764, 2685, 0.88317)
      (765, 9531, 0.22161)
      (766, 9810, 0.17375)
      (767, 4855, 0.69596)
      (768, 2182, 0.63266)
      (769, 4275, 0.83583)
      (770, 7467, 0.77405)
      (771, 7286, 0.06116)
      (772, 5963, 0.46881)
      (773, 3801, 0.92228)
      (773, 5133, 0.12125)
      (774, 2647, 0.75947)
      (775, 5466, 0.49776)
      (775, 6286, 0.08668)
      (776, 5760, 0.65912)
      (776, 9266, 0.19080)
      (777, 7044, 0.42732)
      (778, 3616, 0.84051)
      (779, 935, 0.73986)
      (780, 731, 0.67449)
      (781, 9007, 0.65757)
      (782, 2984, 0.82159)
