1 directed weighted graphs; all are reachable from vertex 0.

** G1: |V| = 2000
(u, v) E = { 
      (16, 368, 0.71015)
      (16, 774, 0.45867)
      (16, 1122, 0.64080)
      (16, 1288, 0.27994)
      (16, 1461, 0.70766)
      (16, 1942, 0.38645)
      (16, 1969, 0.29635)
      (17, 177, 0.36589)
      (17, 297, 0.36127)
      (17, 298, 0.05301)
      (17, 350, 0.07257)
      (17, 436, 0.24921)
      (17, 537, 0.63363)
      (17, 571, 0.62034)
      (17, 668, 0.06833)
      (17, 904, 0.79516)
      (17, 935, 0.33984)
      (17, 1084, 0.17065)
      (17, 1114, 0.43600)
      (17, 1165, 0.75585)
      (17, 1187, 0.20505)
      (17, 1222, 0.85312)
      (17, 1349, 0.30869)
      (17, 1387, 0.86821)
      (17, 1451, 0.08605)
      (17, 1808, 0.44357)
      (17, 1952, 0.27511)
      (18, 67, 0.77411)
      (18, 235, 0.61214)
      (18, 242, 0.37440)
      (18, 302, 0.27314)
      (18, 358, 0.76478)
      (18, 443, 0.39509)
      (18, 656, 0.81152)
      (18, 732, 0.32146)
      (18, 754, 0.36765)
      (18, 922, 0.23837)
      (18, 1149, 0.43023)
      (18, 1203, 0.35283)
      (18, 1240, 0.90457)
      (18, 1385, 0.44466)
      (18, 1410, 0.76328)
      (18, 1557, 0.67394)
      (18, 1596, 0.53739)
      (18, 1670, 0.94877)
      (18, 1951, 0.63680)
      (18, 1955, 0.25912)
      (19, 600, 0.50076)
      (19, 675, 0.75000)
      (19, 705, 0.93831)
      (19, 715, 0.69971)
      (19, 740, 0.72878)
      (19, 747, 0.34084)
      (19, 817, 0.85192)
      (19, 839, 0.93374)
      (19, 865, 0.46593)
      (19, 1077, 0.32089)
      (19, 1271, 0.30049)
      (19, 1350, 0.57702)
      (19, 1391, 0.18585)
      (19, 1778, 0.60505)
      (19, 1798, 0.87729)
      (19, 1953, 0.10162)
      (20, 43, 0.93325)
      (20, 44, 0.58787)
      (20, 167, 0.08380)
      (20, 328, 0.67128)
      (20, 442, 0.84049)
      (20, 672, 0.91875)
      (20, 677, 0.92305)
      (20, 792, 0.31307)
      (20, 853, 0.16924)
      (20, 881, 0.15815)
      (20, 1201, 0.01740)
      (20, 1278, 0.91277)
      (20, 1311, 0.65985)
      (20, 1587, 0.37070)
      (20, 1593, 0.84771)
      (20, 1614, 0.64405)
      (20, 1646, 0.77445)
      (20, 1699, 0.54683)
      (21, 69, 0.68556)
      (21, 204, 0.42689)
      (21, 263, 0.49283)
      (21, 265, 0.44996)
      (21, 313, 0.16628)
      (21, 412, 0.10951)
      (21, 432, 0.52764)
      (21, 435, 0.28127)
      (21, 479, 0.67333)
      (21, 517, 0.24106)
      (21, 828, 0.89619)
      (21, 849, 0.20479)
      (21, 879, 0.76470)
      (21, 894, 0.18688)
      (21, 1085, 0.09221)
      (21, 1104, 0.09647)
      (21, 1204, 0.61778)
      (21, 1240, 0.70676)
      (21, 1395, 0.63038)
      (21, 1442, 0.31286)
      (21, 1536, 0.52431)
      (21, 1691, 0.12488)
      (21, 1800, 0.89944)
      (21, 1887, 0.66971)
      (21, 1993, 0.92660)
      (22, 55, 0.32057)
      (22, 56, 0.58520)
      (22, 58, 0.99656)
      (22, 226, 0.83029)
      (22, 268, 0.14680)
      (22, 372, 0.58327)
      (22, 390, 0.09560)
      (22, 698, 0.68317)
      (22, 859, 0.83173)
      (22, 903, 0.85441)
      (22, 926, 0.54161)
      (22, 987, 0.09262)
      (22, 1155, 0.27129)
      (22, 1157, 0.75634)
      (22, 1193, 0.82796)
      (22, 1337, 0.85758)
      (22, 1365, 0.86267)
      (22, 1758, 0.48768)
      (22, 1864, 0.87954)
      (22, 1905, 0.22451)
      (22, 1944, 0.26147)
      (23, 68, 0.31025)
      (23, 194, 0.45094)
      (23, 337, 0.25784)
      (23, 739, 0.21048)
      (23, 790, 0.46667)
      (23, 848, 0.54909)
      (23, 961, 0.41078)
      (23, 979, 0.80539)
      (23, 1167, 0.99344)
      (23, 1197, 0.17536)
      (23, 1241, 0.04450)
      (23, 1283, 0.32591)
      (23, 1332, 0.97873)
      (23, 1648, 0.03287)
      (23, 1765, 0.84253)
      (23, 1820, 0.47946)
      (23, 1940, 0.06517)
      (24, 80, 0.76836)
      (24, 97, 0.97814)
      (24, 142, 0.64357)
      (24, 607, 0.16648)
      (24, 1024, 0.80199)
      (24, 1210, 0.27651)
      (24, 1397, 0.42989)
      (24, 1401, 0.53654)
      (24, 1447, 0.00087)
      (24, 1466, 0.45393)
      (24, 1489, 0.89293)
      (24, 1634, 0.66430)
      (24, 1810, 0.76048)
      (24, 1814, 0.14355)
      (24, 1934, 0.41869)
      (24, 1995, 0.30258)
      (25, 222, 0.71310)
      (25, 241, 0.08950)
      (25, 261, 0.91497)
      (25, 551, 0.95292)
      (25, 632, 0.12899)
      (25, 779, 0.21412)
      (25, 822, 0.07574)
      (25, 862, 0.72181)
      (25, 936, 0.89567)
      (25, 948, 0.12148)
      (25, 1173, 0.79679)
      (25, 1653, 0.59711)
      (25, 1709, 0.37641)
      (25, 1947, 0.41310)
      (25, 1980, 0.39177)
      (25, 1983, 0.36173)
      (26, 59, 0.43725)
      (26, 191, 0.71575)
      (26, 486, 0.49676)
      (26, 622, 0.19204)
      (26, 647, 0.30544)
      (26, 652, 0.81618)
      (26, 688, 0.29982)
      (26, 759, 0.82582)
      (26, 792, 0.69512)
      (26, 895, 0.66188)
      (26, 1075, 0.93815)
      (26, 1315, 0.74343)
      (26, 1331, 0.42514)
      (26, 1431, 0.01364)
      (26, 1433, 0.25429)
      (26, 1523, 0.24909)
      (26, 1536, 0.04815)
      (26, 1583, 0.37365)
      (27, 116, 0.07332)
      (27, 518, 0.12525)
      (27, 641, 0.44509)
      (27, 746, 0.06899)
      (27, 817, 0.41059)
      (27, 889, 0.16435)
      (27, 983, 0.60569)
      (27, 987, 0.43536)
      (27, 1033, 0.64856)
      (27, 1053, 0.20627)
      (27, 1067, 0.91920)
      (27, 1097, 0.92736)
      (27, 1118, 0.58636)
      (27, 1131, 0.65786)
      (27, 1160, 0.56700)
      (27, 1314, 0.34082)
      (27, 1454, 0.07178)
      (28, 183, 0.02084)
      (28, 284, 0.52969)
      (28, 312, 0.11528)
      (28, 816, 0.18981)
      (28, 892, 0.96624)
      (28, 912, 0.92596)
      (28, 929, 0.42124)
      (28, 1158, 0.35906)
      (28, 1268, 0.23215)
      (28, 1273, 0.78241)
      (28, 1446, 0.93641)
      (28, 1630, 0.03504)
      (28, 1770, 0.27930)
      (28, 1813, 0.45177)
      (28, 1846, 0.96603)
      (28, 1994, 0.51780)
      (29, 74, 0.27588)
      (29, 157, 0.86924)
      (29, 171, 0.01852)
      (29, 193, 0.13064)
      (29, 333, 0.48063)
      (29, 472, 0.26471)
      (29, 575, 0.36074)
      (29, 741, 0.21759)
      (29, 743, 0.50572)
      (29, 746, 0.10752)
      (29, 749, 0.06627)
      (29, 817, 0.01594)
      (29, 820, 0.63108)
      (29, 1235, 0.21839)
      (29, 1302, 0.54784)
      (29, 1547, 0.90119)
      (29, 1575, 0.55424)
      (29, 1876, 0.88278)
      (29, 1966, 0.03337)
      (30, 23, 0.21746)
      (30, 65, 0.58128)
      (30, 80, 0.89216)
      (30, 100, 0.95686)
      (30, 244, 0.65442)
      (30, 312, 0.66478)
      (30, 567, 0.41932)
      (30, 634, 0.09990)
      (30, 708, 0.59038)
      (30, 756, 0.24560)
      (30, 809, 0.13153)
      (30, 820, 0.88717)
      (30, 908, 0.34232)
      (30, 947, 0.40974)
      (30, 971, 0.77580)
      (30, 1022, 0.15947)
      (30, 1058, 0.21920)
      (30, 1197, 0.52500)
      (30, 1263, 0.33443)
      (30, 1348, 0.62725)
      (30, 1405, 0.27341)
      (30, 1604, 0.59946)
      (30, 1751, 0.14845)
      (30, 1770, 0.43591)
      (30, 1779, 0.71709)
      (30, 1969, 0.70242)
      (31, 32, 0.27549)
      (31, 78, 0.74682)
      (31, 111, 0.80958)
      (31, 121, 0.17872)
      (31, 369, 0.95049)
      (31, 391, 0.69951)
      (31, 409, 0.68560)
      (31, 423, 0.13964)
      (31, 503, 0.68388)
      (31, 523, 0.39814)
      (31, 738, 0.77034)
      (31, 979, 0.22052)
      (31, 987, 0.26450)
      (31, 1153, 0.08300)
      (31, 1405, 0.06059)
      (31, 1427, 0.47736)
      (31, 1464, 0.36419)
      (31, 1660, 0.60975)
      (31, 1916, 0.66386)
      (32, 69, 0.82177)
      (32, 103, 0.50030)
      (32, 256, 0.86333)
      (32, 344, 0.46029)
      (32, 577, 0.38374)
      (32, 793, 0.68539)
      (32, 825, 0.79193)
      (32, 893, 0.36206)
      (32, 1004, 0.07736)
      (32, 1033, 0.52076)
      (32, 1180, 0.63362)
      (32, 1313, 0.76016)
      (32, 1348, 0.22486)
      (32, 1408, 0.64553)
      (32, 1545, 0.34263)
      (32, 1700, 0.15215)
      (33, 112, 0.61772)
      (33, 183, 0.47194)
      (33, 572, 0.67146)
      (33, 667, 0.06330)
      (33, 715, 0.88353)
      (33, 1028, 0.90889)
      (33, 1044, 0.82259)
      (33, 1393, 0.82630)
      (33, 1463, 0.90579)
      (33, 1505, 0.30120)
      (33, 1594, 0.56710)
      (33, 1636, 0.64621)
      (33, 1724, 0.71022)
      (33, 1743, 0.22759)
      (33, 1781, 0.56988)
      (33, 1791, 0.33544)
      (33, 1881, 0.01962)
      (34, 39, 0.46449)
      (34, 41, 0.18338)
      (34, 210, 0.44911)
      (34, 260, 0.45958)
      (34, 285, 0.36057)
      (34, 318, 0.11214)
      (34, 333, 0.64147)
      (34, 359, 0.66808)
      (34, 375, 0.92538)
      (34, 484, 0.72488)
      (34, 545, 0.48580)
      (34, 653, 0.87095)
      (34, 850, 0.69074)
      (34, 941, 0.34108)
      (34, 1070, 0.76964)
      (34, 1083, 0.88106)
      (34, 1088, 0.62584)
      (34, 1197, 0.80062)
      (34, 1348, 0.57247)
      (34, 1404, 0.92757)
      (34, 1465, 0.49063)
      (34, 1495, 0.10316)
      (34, 1499, 0.40935)
      (34, 1507, 0.06890)
      (34, 1629, 0.21918)
      (34, 1701, 0.50864)
      (34, 1749, 0.25106)
      (34, 1780, 0.21427)
      (34, 1818, 0.33784)
      (35, 509, 0.67810)
      (35, 537, 0.85768)
      (35, 629, 0.62036)
      (35, 646, 0.69095)
      (35, 751, 0.56341)
      (35, 775, 0.67216)
      (35, 1309, 0.41982)
      (35, 1311, 0.11285)
      (35, 1319, 0.93498)
      (35, 1351, 0.78170)
      (35, 1690, 0.91878)
      (35, 1770, 0.80067)
      (35, 1812, 0.33506)
      (35, 1962, 0.96963)
      (35, 1983, 0.76132)
      (35, 1993, 0.10470)
      (36, 14, 0.81720)
      (36, 109, 0.56038)
      (36, 523, 0.26487)
      (36, 727, 0.85436)
      (36, 803, 0.63808)
      (36, 917, 0.27444)
      (36, 967, 0.38594)
      (36, 980, 0.82228)
      (36, 1223, 0.28392)
      (36, 1276, 0.35512)
      (36, 1315, 0.32814)
      (36, 1461, 0.58566)
      (36, 1496, 0.96486)
      (36, 1630, 0.28517)
      (36, 1856, 0.43784)
      (37, 78, 0.05111)
      (37, 103, 0.86762)
      (37, 137, 0.66277)
      (37, 384, 0.38972)
      (37, 389, 0.11457)
      (37, 401, 0.38399)
      (37, 542, 0.48874)
      (37, 572, 0.59883)
      (37, 771, 0.41467)
      (37, 849, 0.36110)
      (37, 972, 0.83941)
      (37, 977, 0.91841)
      (37, 1233, 0.61858)
      (37, 1254, 0.73649)
      (37, 1339, 0.15226)
      (37, 1385, 0.70031)
      (37, 1401, 0.57080)
      (37, 1403, 0.65426)
      (37, 1429, 0.36847)
      (37, 1539, 0.26989)
      (37, 1548, 0.15299)
      (37, 1901, 0.55833)
      (38, 184, 0.44698)
      (38, 613, 0.56366)
      (38, 617, 0.26681)
      (38, 622, 0.36031)
      (38, 685, 0.34059)
      (38, 695, 0.90729)
      (38, 814, 0.77612)
      (38, 839, 0.51689)
      (38, 912, 0.22716)
      (38, 1121, 0.01760)
      (38, 1233, 0.18796)
      (38, 1245, 0.58043)
      (38, 1315, 0.06133)
      (38, 1549, 0.51703)
      (38, 1679, 0.72438)
      (38, 1801, 0.85895)
      (38, 1861, 0.89372)
      (38, 1921, 0.21305)
      (39, 212, 0.73125)
      (39, 221, 0.92974)
      (39, 265, 0.38778)
      (39, 268, 0.50283)
      (39, 307, 0.26408)
      (39, 323, 0.93821)
      (39, 467, 0.39216)
      (39, 550, 0.90977)
      (39, 681, 0.17889)
      (39, 849, 0.61813)
      (39, 873, 0.62831)
      (39, 881, 0.75002)
      (39, 906, 0.64313)
      (39, 947, 0.82508)
      (39, 1034, 0.65475)
      (39, 1079, 0.86807)
      (39, 1202, 0.11178)
      (39, 1369, 0.48035)
      (39, 1635, 0.63829)
      (39, 1678, 0.09110)
      (39, 1716, 0.44914)
      (39, 1755, 0.08417)
      (39, 1756, 0.30259)
      (39, 1801, 0.39315)
      (39, 1822, 0.64707)
      (39, 1945, 0.81971)
      (40,  7, 0.45094)
      (40, 168, 0.94863)
      (40, 194, 0.22059)
      (40, 201, 0.54260)
      (40, 254, 0.55219)
      (40, 308, 0.14950)
      (40, 548, 0.32892)
      (40, 575, 0.73126)
      (40, 639, 0.21351)
      (40, 820, 0.06829)
      (40, 823, 0.95947)
      (40, 1019, 0.67903)
      (40, 1110, 0.53040)
      (40, 1395, 0.60831)
      (40, 1481, 0.95014)
      (40, 1518, 0.17995)
      (40, 1545, 0.04446)
      (40, 1601, 0.90260)
      (40, 1747, 0.38681)
      (40, 1923, 0.65325)
      (40, 1944, 0.88800)
      (41, 34, 0.90571)
      (41, 46, 0.26600)
      (41, 233, 0.60684)
      (41, 272, 0.76778)
      (41, 311, 0.23854)
      (41, 354, 0.60157)
      (41, 546, 0.79400)
      (41, 570, 0.26779)
      (41, 605, 0.14711)
      (41, 720, 0.16477)
      (41, 936, 0.86108)
      (41, 1026, 0.49757)
      (41, 1034, 0.98072)
      (41, 1138, 0.73761)
      (41, 1597, 0.26197)
      (41, 1648, 0.71293)
      (41, 1791, 0.67591)
      (41, 1885, 0.78601)
      (42, 75, 0.80528)
      (42, 240, 0.47165)
      (42, 266, 0.79893)
      (42, 281, 0.32434)
      (42, 361, 0.40733)
      (42, 440, 0.37406)
      (42, 858, 0.62366)
      (42, 887, 0.60099)
      (42, 1035, 0.42369)
      (42, 1260, 0.98112)
      (42, 1263, 0.83142)
      (42, 1480, 0.69211)
      (42, 1568, 0.39900)
      (42, 1602, 0.55697)
      (42, 1620, 0.69555)
      (42, 1746, 0.07596)
      (42, 1802, 0.79659)
      (42, 1831, 0.69607)
      (42, 1847, 0.40615)
      (42, 1855, 0.00821)
      (42, 1864, 0.30456)
      (42, 1955, 0.10388)
      (43, 57, 0.53050)
      (43, 169, 0.60831)
      (43, 403, 0.95460)
      (43, 548, 0.81654)
      (43, 582, 0.27184)
      (43, 624, 0.77296)
      (43, 657, 0.08713)
      (43, 858, 0.63012)
      (43, 865, 0.01825)
      (43, 870, 0.51954)
      (43, 898, 0.87089)
      (43, 954, 0.94251)
      (43, 1060, 0.89891)
      (43, 1134, 0.80923)
      (43, 1260, 0.11682)
      (43, 1414, 0.20947)
      (43, 1438, 0.00858)
      (43, 1443, 0.97776)
      (43, 1533, 0.91901)
      (43, 1566, 0.61403)
      (43, 1617, 0.02646)
      (43, 1653, 0.65285)
      (43, 1920, 0.84980)
      (43, 1922, 0.57684)
      (43, 1965, 0.20608)
      (44, 144, 0.47522)
      (44, 169, 0.82250)
      (44, 219, 0.41153)
      (44, 240, 0.38310)
      (44, 335, 0.07371)
      (44, 377, 0.50607)
      (44, 733, 0.82750)
      (44, 822, 0.13825)
      (44, 957, 0.35516)
      (44, 1169, 0.30415)
      (44, 1208, 0.92846)
      (44, 1449, 0.58600)
      (44, 1466, 0.48171)
      (44, 1706, 0.41723)
      (44, 1757, 0.59566)
      (44, 1855, 0.49488)
      (44, 1888, 0.73500)
      (44, 1941, 0.25939)
      (45, 186, 0.02676)
      (45, 194, 0.02820)
      (45, 311, 0.19716)
      (45, 384, 0.47984)
      (45, 445, 0.63316)
      (45, 457, 0.56272)
      (45, 545, 0.30996)
      (45, 712, 0.75254)
      (45, 780, 0.12226)
      (45, 1074, 0.44174)
      (45, 1087, 0.03583)
      (45, 1197, 0.32365)
      (45, 1667, 0.67830)
      (45, 1669, 0.31695)
      (45, 1685, 0.02226)
      (45, 1789, 0.49948)
      (45, 1913, 0.52752)
      (46, 43, 0.47001)
      (46, 142, 0.82547)
      (46, 187, 0.85196)
      (46, 234, 0.08624)
      (46, 236, 0.20456)
      (46, 682, 0.54140)
      (46, 738, 0.06316)
      (46, 971, 0.27420)
      (46, 1038, 0.22363)
      (46, 1049, 0.11306)
      (46, 1145, 0.35128)
      (46, 1169, 0.59449)
      (46, 1206, 0.61196)
      (46, 1210, 0.60523)
      (46, 1215, 0.60484)
      (46, 1227, 0.35514)
      (46, 1421, 0.23084)
      (46, 1452, 0.71554)
      (46, 1783, 0.23598)
      (46, 1824, 0.72458)
      (46, 1875, 0.59606)
      (47, 215, 0.85533)
      (47, 305, 0.79245)
      (47, 311, 0.47448)
      (47, 496, 0.14600)
      (47, 737, 0.94280)
      (47, 789, 0.14048)
      (47, 828, 0.47538)
      (47, 832, 0.33319)
      (47, 896, 0.71382)
      (47, 1024, 0.14721)
      (47, 1036, 0.35706)
      (47, 1159, 0.51759)
      (47, 1162, 0.58242)
      (47, 1227, 0.67812)
      (47, 1303, 0.79087)
      (47, 1446, 0.36869)
      (47, 1852, 0.12448)
      (47, 1875, 0.00679)
      (47, 1975, 0.20085)
      (48,  4, 0.08269)
      (48, 31, 0.00706)
      (48, 117, 0.06024)
      (48, 378, 0.04138)
      (48, 462, 0.76903)
      (48, 492, 0.27501)
      (48, 548, 0.16623)
      (48, 921, 0.91075)
      (48, 947, 0.81191)
      (48, 1102, 0.60182)
      (48, 1131, 0.31824)
      (48, 1140, 0.81938)
      (48, 1218, 0.54561)
      (48, 1224, 0.12501)
      (48, 1233, 0.05666)
      (48, 1352, 0.10473)
      (48, 1466, 0.77240)
      (48, 1482, 0.89151)
      (48, 1509, 0.79124)
      (48, 1552, 0.67109)
      (48, 1571, 0.15660)
      (48, 1675, 0.89468)
      (48, 1761, 0.75431)
      (48, 1846, 0.49601)
      (48, 1883, 0.81903)
      (48, 1910, 0.67820)
      (49, 31, 0.77419)
      (49, 59, 0.12019)
      (49, 88, 0.97222)
      (49, 110, 0.52114)
      (49, 164, 0.62438)
      (49, 223, 0.67985)
      (49, 339, 0.48761)
      (49, 555, 0.76087)
      (49, 603, 0.45422)
      (49, 728, 0.76497)
